blunt	钝
turd	粪
dry cleaning	干洗
Karakalpak	卡拉卡尔帕克语
Kuwait	科威特
implement	工具
spirituality	灵性
mind	精神
systematic	有系统的
backup	备份
release	释放
cur	杂种
conclusive	确凿
British	英国人
boycott	杯葛
dianoetic	智力的
guerdon	报酬
hydrodynamic	水压的
tankard	大啤酒杯
uraninite	沥青铀矿
negus	檬
hypocrite	伪君子
dining room	饭厅
deviated nasal septum	鼻腔畸形
abysm	深渊
bedding	卧具
reiteration	重复
humiliation	耻辱
dresser	梳妆台
eggplant	茄子
automatic	自动的
osteomalacia	骨软化
nuclear physics	核物理学
inalienable	不能让与的
repairer	修理工人
wingspan	翼展
station wagon	旅行车
headstall	马笼头
adventurer	冒险家
patchwork	拼凑物
banana split	香蕉船
Boeotia	波奥提亚
alloy	合金
Nynorsk	新挪威语
English Channel	英吉利海峡
zoology	动物学
crematorium	火葬场
demerit	缺点
typical	典型的
hoot	鸣响
beet sugar	甜菜糖
consular	领事的
dialectal	方言的
immune	免疫的
mazurka	玛祖卡
onanism	交媾中断
smudge	污点
mammal	哺乳动物
psychiatry	精神病学
internalize	内在化
pharmacist	药剂师
usage	用法
atomic clock	原子钟
Yenisei	叶尼塞河
kink	纽结
Pyxis	罗盘座
extract	掊
knowledgeable	知道
pension fund	养老基金
emblematic	象征的
napkin	餐巾纸
quadrant	象限
balboa	巴波亚
bootjack	脱靴器
police car	警车
melt	融
kitchenette	小厨房
magically	如魔法般地
tarsal	跗骨的
Manichaean	摩尼教文
Machu Picchu	马丘比丘
ravioli	馄饨
Australian	澳大利亚人
flood	洪水
hamlet	村
goodwill	善意
import	进口
theft	盗窃
leftovers	剩
creeper	莵
efficient	生效的
diligently	勤勉地
gumbo	秋葵
meerschaum	海泡石
unvarnished	未涂漆的
Olympiad	奥林匹克
circuit breaker	断路开关
nuclear winter	核冬天
face powder	粉
water pill	利尿剂
high jump	跳高
antigen	抗原
spank	一巴掌
brain	脑
mishap	闪失
pew	座位
happiness	禧
orange	橙
ionization	电离
mycelium	菌丝体
industrious	勤劳
cleave	劈
prematurely	过早地
unpack	拆开
grand slam	大满贯
entertainment	娱乐
freeware	免费软件
Visigoth	西哥特人
musically	音乐上
oil painting	油画
red-legged partridge	红腿石鸡
madrasah	伊斯兰学校
discover	发现
receive	收
consonant	辅音
sinker	吊锤
sainthood	圣徒
dead	死
conclude	结束
gauze	纱
Mafia	黑手党
sarcastically	讽刺地
cab	出租汽车
gourmand	饕餮者
intubate	把管子插进
isentropic	等熵线
Apia	阿皮亚
radon	氡
earphone	耳机
tumulus	钟状火山
gas pump	鼓风机
mercy seat	约柜之金盖
selfishness	任性
cockchafer	金龟子
esteem	崇
associate	骈
positivism	实证主义
stearin	硬脂
membrane	膜
hawser	缆
insidious	隐伏的
lahar	火山泥流
liverwurst	肝香肠
oakum	填絮
parishioner	教区居民
playlet	短剧
Aurora	奥罗拉
nonobservance	不遵守
pa	爸
yowl	号叫
thermal printer	热敏式印字机
Shawwal	闪瓦鲁
glade	林间空地
agenda	议程
emir	埃米尔
inspect	检查
sash	腰带
theorize	建立理论
turnpike	收费公路
sacrificial	牺牲的
Zuni	祖尼语
adverbially	当副词
grubby	生蛆的
unrealistic	迂
machine language	机器语言
green card	绿卡
seminary	神学院
sorbet	雪葩
nationalisation	国有化
typewriter	打字机
peptone	胨
sweet oil	橄榄油
Seoul	首尔
early	早
original	原
dentition	齿系
desert	沙漠
Seychelles	塞舌尔
disyllable	双音节词
drawl	懒洋洋地说
polychromatic	多色的
legally	法律上
plectrum	拨子
square-rigger	横帆船
big business	大企业
clove	丁香
Malabo	马拉博
caul	胎膜
germanium	锗
pisiform bone	豌豆骨
electric toothbrush	电动牙刷
distribution	分配
care	关心
awake	醒
wry	扭歪
agitate	搅拌
climatologist	气候学家
dismount	卸下
Andorra	安道尔
adorably	可爱地
inaccurately	不正确地
contrabassoon	倍低音巴松笛
corrigible	可改正的
dichotomous	分成两个的
expressible	可表现的
proliferate	增殖
snore	打鼾
lexicon	词典
skeleton key	万能钥匙
dragon	龙
Caracas	卡拉卡斯
gauge	轨距
enmity	仇
pardonable	可原谅的
mine	矿山
participatory	供人分享的
seismogram	震动图
beg	求
unconscious	㥥
dreamlike	梦一般的
eukaryotic	优核质
maudlin	容易流泪的
satiate	满足
soft drink	软饮料
patroness	女资助人
foremother	女祖先
pull-up	引体向上
conjuration	咒语
wet dream	梦遗
centaury	矢车菊
Togo	多哥
consonance	调和
topless	上空
sweet potato	白薯
gale	强风
oomph	性的魅力
really	真
Scottish Gaelic	苏格兰盖尔语
laudable	值得赞赏
olive	橄榄
commemorative	纪念的
sectarian	宗派的
dryad	蛇眼蝶
right-angled	直角的
religiosity	宗教狂
acrylate	丙烯酸盐
diffusion	扩散
virus	病毒
parking	停车
require	需
calling	秇
deformation	改丑
bean	豆
humour	幽默
junction	交叉点
commune	公社
skirt	裙子
missile	导弹
heartbeat	心跳
gastronomic	美食法的
excessively	过于
benevolently	仁慈地
chigger	恙螨
disembowel	除去肠子
irrevocable	不能取消的
leatherette	人造皮
squeegee	橡胶清洁器
Ebro	埃布罗河
junk bond	破烂债券
toothbrush	牙刷
Calais	加来
boundary	边界
private school	私立学校
reiterate	重申
caveman	穴居人
shallow	浅
bloodstream	血液
mail slot	信箱
dirigible	飞艇
dyspepsia	消化不良
Jewish	犹太
Thompson submachine gun	汤普森冲锋枪
acceptably	可欣然接受地
colorimetry	比色法
artlessness	天真烂漫
nitroglycerine	硝化甘油
weapon of mass destruction	大规模杀伤性武器
artemisia	蒿
solar panel	太阳能电池板
state	州
spiritualist	唯心论者
dub	配音
sail	帆
vocal	声音的
teller	出纳员
racer	比赛者
hem	䈃
obstetric	产科的
coolie	苦力
shofar	羊角号
theological	神学的
vampirism	吸人膏血
James	詹姆斯
hot pot	火锅
manacle	手铐
cataplasm	糊剂
soft palate	软腭
aftershock	余震
Andalusian	安达卢西亚的
Aleppo	阿勒颇
Ontario	安大略
cabbage	洋白菜
booking	预约
perquisite	额外补贴
hyperlink	超链接
Melpomene	悲剧女神
condense	炼
arbiter	仲裁人
presidential	总统的
kyat	元
radiator	散热器
microwave oven	微波炉
inferiority	次等
Hellene	希腊人
vegetarianism	素食主义
barelegged	露腿的
doubleheader	双车头火车
street organ	手提管风琴
block capital	方块式柱头
try	试
blunder	㤮
balance	秤
establish	建
chord	弦
weld	焊
pessary	子宫托
permanence	永久性
homoerotic	同性恋的
soap	肥皂
tuxedo	无尾礼服
honeydew	蜜露
lebensraum	生存空间
market price	市场价
citation	引证
field hockey	曲棍球
mathematics	数学
cadaver	尸体
windward	迎风
police	警察
dissent	异议
axial	轴的
gastric juice	胃液
Nepali	尼泊尔语
locomotive	火车头
dicotyledonous	双子叶的
thunderbolt	霹雳
hitchhiker	短篇广告
knapweed	黑矢车菊
horizontally	地平地
chlorite	绿泥石
husbandry	农事
in the first place	首先
patois	方言
mistle thrush	槲鸫
purple emperor	紫闪蛱蝶
chiliastic	千禧年信奉者的
Rio de Janeiro	里约热内卢
artery	动脉
genocide	种族灭绝
worship	崇拜
lessee	承租人
automaton	机器人
wavelength	波长
continual	频繁的
blackjack	二十一点
leathery	皮似的
perfective	完成式
refutable	可驳倒的
Boolean logic	布尔逻辑
untruthfulness	诈语
decalitre	公斗
drummer	鼓手
poison sumac	毒肤杨
latte	拿铁
strip poker	剥猪猡
Sweden	瑞典
Kingdom of Denmark	丹麦王国
step by step	逐步
introduction	引言
shortcoming	缺点
chemical reactor	化学反应器
death duty	遗产税
problematic	问题的
Daphne	瑞香属
Lutheran	路德教会的
allantoid	尿囊样的
barnacle	藤壶
cos	莴苣的一种
lathe	车床
plumbic	铅的
narrative	记叙文
bestseller	畅销书
photographer	摄影师
bestiality	兽性
griffon vulture	西域兀鹫
plant	植物
path	路
zebra	斑马
tussock	草丛
fitting	冝
solitary	孤
bile acid	胆汁酸
attainable	可行的
noria	戽水车
clergy	神职人员
feign	佯
participial	分词的
Ecclesiastes	传道书
pigweed	藜
stairway	楼梯
unguent	软膏
zirconia	氧化锆
elementary school	小学
tiger cub	彪
hobbit	哈比人
French Polynesia	法属波利尼西亚
ask	问
sumac	栌
gamma radiation	γ-辐射
Krebs cycle	克雷伯氏循环
corporal	下士
cocksure	深信的
battering ram	破城槌
bedraggle	拖脏
carbonize	碳化
descendant	后代
ethnographic	民族志学的
glottochronology	语言年代学
hemodynamics	血液动力学
slaveholder	奴隶所有者
nib	钢笔尖
bank card	银行信用卡
in-law	姻亲
stone bramble	石生悬钩子
execration	念咒
belief	信仰
tamp	砸
human race	人类
estimation	判断
addictive	上瘾的
baldrick	鲍德里克
fortune	命运
passable	可通行的
Haitian Creole	海地克里奥尔语
anthropomorphic	神人同形同性论的
dispute	争论
curtsey	屈膝礼
wop	移居美国的移民
Ottoman Empire	奥斯曼帝国
bulletin board	布告栏
Indianapolis	印第安纳波利斯
footrest	脚凳
unordered	无序的
computational linguistics	计算语言学
Essen	埃森
skill	技巧
emphasis	强调
elongated	拉长
boldly	大胆地
bulky	庞大的
obsequious	䠸
misogyny	厌女症
woodworm	蚀船虫
derelict	被抛弃了的
militant	好战的
compiler	编译器
intermittent	间歇的
detrain	下火车
ragbag	装破布袋
sociometry	社会人际学
Mary	玛丽
divining rod	筮
cell membrane	细胞膜
blue peter	P-字旗
puzzle	谜
catalyze	催化
agrimony	龙芽草
amphetamine	安非他明
unprocessed	未加工的
supportable	可支持的
stopcock	活栓
catamaran	双体船
congressman	国会议员
godfather	教父
legging	护痉
tediousness	沉闷
quantum physics	量子力学
hoodlum	流氓
talon	爪
ratio	率
galvanize	镀锌
bilabial	双唇音
osculating circle	密切圆
revolutionary	革命的
weep	哭
butcher	宰
freckled	雀
gambol	雀跃
watercourse	河道
tote	托特包
substantial	实际
butternut	灰胡桃木
chutney	酸辣酱
eightsome	轻快的八人舞蹈
untimely	不到时候的
monophonic	单频道的
raisin	葡萄干
rib	肋骨
tuner	调音师
zeal	热心
dominoes	骨牌
corned beef	咸牛肉
uneven bars	高低杠
Elysian Fields	上苍
earwax	耳垢
zone	地带
stack up	重叠
ancient	古
temperate	倹
fir	冷杉
Olympia	奥林匹亚
Anglo-Norman	盎格鲁-诺曼语
baptized	施行洗礼
betroth	许配
liberated	自由的
dedicate	奉献
perforated	多孔的
gerrymander	为自党利益改划选举区分
terry	厚绒布
gerbil	沙鼠
Shiraz	设拉子
firepower	火力
air-to-ground	空对地的
small	小
baseline	基线
queer	怪
mean	鄙
exegete	解释者
establishment	制定
identifier	标识符
learned	博学
ablution	沐浴
Tlingit	特林吉特语
zesty	兴致很高的
Bermuda Triangle	百慕大三角
tablespoon	大汤匙
meow	喵
CNS	中国国家标准
ceruse	铅粉
rapidity	速度
commensalism	共栖
Theravada	乘佛教
paint	油漆
break	破
dilute	稀释
carbon copy	抄送
radiance	㬇
Pisces	双鱼座
antipodean	正相反对的
bid price	出价
cinematography	电影术
forint	福林
barbecue	烧烤
placard	牌
laminar flow	层流
file cabinet	档案柜
classical mechanics	经典力学
camcorder	摄像机
Monsignor	大人
judo	柔道
minus sign	负号
gas giant	气态巨行星
Missouri	密苏里州
El Salvador	萨尔瓦多
classic	古
ascent	上升
longing	欲
molar	臼齿
flashpoint	爆发点
linkage	连锁
feldspar	长石
sodium	钠
aerobiosis	好氧生活
neurosis	神经症
chambermaid	女服务员
Ezekiel	以西结书
yolk	蛋黄
grapheme	字形
spherometer	球径计
electric charge	电荷
hygrometer	湿度计
Prairial	牧月
Vaduz	瓦杜兹
rescue	救
swallow	吞
trivial	䂷
measure	量
negotiate	谈判
mixture	混合物
allergic	过敏的
countryside	农村
rosehip	玫瑰果
Cain	该隐
generously	慨然
sensory	知觉的
matrimony	结婚
ego	自我
vireo	维丽俄鸟
waffle iron	对开式铁心
Virgin Mary	圣母玛利亚
punter	船夫
crankshaft	曲轴
unary operation	一元运算
Geneva	日内瓦
in vain	徒然
renowned	㫫
abstract	抽象
pecan	山核桃
X-ray diffraction	爱克斯光衍射
heedful	深切注意的
indomitable	不屈不挠
inorganic	无机
larva	幼虫
Demeter	得墨忒耳
Carthage	迦太基
birthday cake	生日蛋糕
Mandarin	普通话
caviar	鱼子酱
ordinarily	普通
headset	耳机
propitiate	安抚
tartare sauce	塔塔酱
straw	稻草
impurity	杂质
prudence	慎重
recording	录音
delicious	可口
diving	潜水
treetop	树稍
pancreatic juice	胰液
paunchy	大肚子的
cartilaginous	软骨的
daybed	坐卧两用长椅
exhalation	蒸发
imperil	危害
misogynist	厌恶女人的人
tortilla	墨西哥薄饼
outsider	局外人
in common	共有
onus	负担
docudrama	文献电视片
unison	齐唱
utter	发出
office	办公室
plummet	砣
yearly	每年的
ski	滑雪板
necropsy	验尸
abnormally	反常地
bridesmaid	女傧相
caddie	球童
camisole	女背心
rigidly	坚硬地
godchild	教子
hyperpigmentation	着色过度
snob	势利的人
moss green	苔藓绿
musicologist	音乐学者
kilowatt	千瓦
pharyngeal tonsil	咽扁桃体
kindly	咊
knight	骑士
monument	纪念碑
plane	刨
documentation	文件
pasta	意大利面食
Baja California	下加利福尼亚
crevice	裂缝
chanter	吟唱者
timer	定时器
inflame	点火
luminescent	发光的
pigskin	猪皮
kingbird	必胜鸟类
waterworks	喷水装置
deception	仮
aerodynamics	空气动力学
rosemary	迷迭香
diethyl ether	乙醚
French bread	长面包
English	英语
assign	分配
barometer	气压计
vegetate	生长
fairness	晴朗
bona fide	善意
line up	排队
disgraceful	可耻的
siege	围困
chief operating officer	业务主管
Pompeii	庞培
ascetically	苦行地
musk	麝香
homer	本垒打
reusable	可再用的
torpedo	鱼雷
magistracy	地方行政长官
dog shit	狗屎
muster roll	花名册
castling	王车易位
mutter	咕
go up	上
hawthorn	山楂
ischium	坐骨
gloss	光彩
lend	借
priming	装雷管
intercom	对讲机
bust	半身像
zoophagous	食肉的
merchant	商人
microsecond	微秒
anhinga	美洲蛇鸟
merchant bank	商业银行
special effect	特殊效果
teapot	茶壶
sebum	皮脂
drubbing	击破
archangelic	天使长的
Mozambican	莫桑比克的
Triassic	三叠纪
pillow	枕头
swash	虚张声势
vehemence	激烈
abnegate	放弃
plaice	美洲泥庸鲽
archangel	大天使
money changer	货币兑换商
raccoon	浣熊
spare part	备件
inner product	内积
biped	两足动物
kiloton	千吨
whicker	嘶叫
architect	建筑师
telephone directory	电话簿
solar plexus	太阳丛
software engineer	软件工程师
great horned owl	大雕鸮
footbridge	人行桥
laurel wreath	桂冠
glare	瞪
servant	仆人
fecundity	生育力
feel	摸
modulation	调节
synthetic	合成的
Titus	提多
deadpan	故作严肃的
greedily	贪婪地
intracutaneous	皮内
upside down	颠倒
rheumatology	风湿病学
satiable	可满足的
undergarment	内衣
somatic cell	体细胞
Dec	12月
twenty-third	第二十三
mill	磨
dummy	奶嘴
marketing	营销
rancor	深仇
kerosene	煤油
ecotourism	生态旅游
Manipur	曼尼普尔区
avert	避免
bruxism	磨牙症
obsessive	强迫性的
descriptive	描述的
diploidy	二倍性
beaker	烧杯
Chechnya	车臣
Galilee	加利利
pee	小便
oxidize	氧化
genotypic	基因型的
whiten	漂白
retainer	家臣
overbearing	傲
log out	登出
destroyer	驱逐舰
conciliatory	和解
acceptance	容纳
personal digital assistant	个人数码助理
lowering	低沉
bibulous	饮酒的
discussion	讨论
undefended	无防备的
farrow	一窝小猪
ideation	构思能力
oviparous	卵生的
trapezoidal	梯形的
ablative	离格的
issuer	发行者
supernova	超新星
seismology	地震学
United States of America	美国
shove	推
pip	果仁
mutt	杂种
ensnare	诱捕
seabird	海鸟
prima	第一的
logical	逻辑
Babylonian	巴比伦的
infertility	不肥沃
corrosive	腐蚀的
encrypt	加密
epidemiological	流行病学的
Gabonese	加蓬人
simulate	模拟
sloth bear	懒熊
amass	积
text file	文本文件
Allah	安拉
striated muscle	横纹肌
opera glasses	小型双眼望远镜
diadem	王冠
fall asleep	入睡
respond	回答
deferment	迁延
tusk	长牙
weightless	无重量的
wrongful	不法的
braggart	吹牛
diner	用餐者
disabuse	解迷惑
firstborn	最年长
inspiring	灌输的
meatball	肉丸
rusticate	去乡下
tyrannosaurus	暴龙
Keynesianism	凯恩斯主义
vending machine	自动贩卖机
mountain climbing	爬山
yeshiva	犹太初等学校
Natal	纳塔尔
monoxide	一氧化物
editorial	社论
habitat	栖息地
deprivation	剥夺
fusiform	纺锭状的
opah	月鱼科鱼类
macadamia	昆士兰果
abstractionist	抽象派艺术家
adequately	充分地
agglutinate	粘着的
amine	胺
diabolical	恶魔的
stoppage	停机
Calgary	卡尔加里
alpha ray	阿尔法射线
nob	头
ostrich	鸵鸟
drydock	干船坞
better	比较好的
reward	报酬
cedi	塞地
kingdom	王国
growth	生长
band	带
muddle	混浊状态
violation	违规
tulip tree	鹅掌楸属
cardboard	纸板
keratinization	角质化
cryometer	低温计
warmonger	战争贩子
gynecological	妇产科医学的
trencherman	食量大的人
Tower of Babel	巴别塔
tyrosine	酪氨酸
linear algebra	线性代数
Jason	伊阿宋
egg cell	卵细胞
Mbabane	姆巴巴内
all of a sudden	突然
visible	看得见
scribble	㡪
oeuvre	全集
mainsail	主帆
disease	病
transfiguration	变形
cool	凉
levee	大堤
angiopathy	血管疾病
Matterhorn	马塔角
stringy	绳的
respectively	分别
slither	不稳地滑动
circumcision	割礼
seashore	海岸
dossier	档案
som	索姆
cherry tree	樱桃树
Belize	伯利兹
duodenum	十二指肠
sharp	锋利
cooper	制桶工人
catalysis	催化作用
inert	惰性的
broadcasting	广播
neurosurgery	神经外科
celestial navigation	天文导航
beechnut	山毛榉坚果
cytosine	胞嘧啶
mollycoddle	娇养
motorway	高速公路
outsmart	瞒过
wipe out	㩱
West Bengal	西孟加拉邦
barman	酒保
meagerness	瘦
merely	仅
illustration	插图
place name	巂
wild	野
lampshade	灯罩
scabies	疥疮
storage	储藏
data processing	数据处理
noble	贵族
insurance	保险
mayonnaise	蛋黄酱
senselessly	愚蠢的
brisance	炸药震力
spire	尖顶
stock market	股票市场
sunflower oil	葵花籽油
zeta	截塔
celandine	白屈菜
curlew sandpiper	弯嘴滨鹬
isthmus	地峡
marketplace	市场
urge	催
apnea	无呼吸
tenement	房屋
drainage basin	流域
Manchurian	中国东北人
agglutinogen	凝集原
decubitus	卧位
bolometer	测辐射热仪
inspan	套轭于
tarry	奄
sodium benzoate	苯甲酸钠
black swan	黑天鹅
Lazarus	拉撒路
assonance	类音
deaf-mute	聋哑者
multitude	群
opera house	歌剧院
nibbed	装了尖头的
Haiti	海地
Lake Huron	休伦湖
sturgeon	鲟鱼
ounce	盎司
incision	切口
paralysis	瘫痪
sampan	舢
lead time	提前期
photosynthesis	光合作用
brake pad	制动块
preview	预演
bluebird	蓝知更鸟
spurge	大戟
moustache	髭
profiteer	奸商
notepad	记事本
circumscribe	限制
hamate bone	钩骨
lumbar puncture	腰椎穿刺
run down	用完
syndrome	症候群
May Day	国际劳动节
stray	㵌
education	教育
spaghetti	意粉
lacustrine	湖泊的
piglet	猪崽
Nordic	北欧人
verily	实在
helical	螺旋状的
jest	谐
resuscitate	复苏
tropism	向性
garlic	大蒜
nanotube	纳米管
tachycardia	心动过速
leukorrhea	白带
piece of cake	非常容易的事
sawm	斋戒
neglect	忽视
capture	擒
spike	长钉
maltreat	凌
improbable	叵
interlude	插曲
consummate	至上的
compatible	相容
allergist	过敏症专科医师
jovial	快活的
muscat	麝香葡萄
Jamaican	牙买加人
mangosteen	倒捻子
alterability	可变更性
hussar	轻骑兵
wisdom tooth	智齿
gramophone	留声机
decimal system	十进制
chromosomal	染色体
Tiber	台伯河
gullibility	易受骗
rack	架
bent	曲
peck	啄
treatment	治疗
monarchist	君主制主义者
ethnic cleansing	种族清洗
parochial	教区的
miniature	缩图
alienism	精神病学
balustrade	栏杆
nebulous	星云的
edacious	贪吃的
intention	意图
spyware	间谍软件
chrysanthemum	菊
favouritism	偏袒
Sikhism	锡克教
Chadian	乍得人
Egypt	埃及
jacket	夹克
corporation	公司
custom	习惯
insure	确保
dependability	可靠性
pert	无礼的
anodic	阳极的
cartographic	地图的
dissimilate	变得不同
prominently	突起地
barrel organ	手摇风琴
pet name	昵称
Taipei	台北
Yunnan	云南
arrowhead	镞
leap day	闰日
speeding ticket	超速罚款条
nondenominational	不限于一宗教宗派的
hamper	笥
queen consort	皇后
recuperate	疗养
continuance	持续
beet	甜菜
rosin	松香
petty cash	备用金
antiperspirant	止汗药
clangour	铿锵声
hemline	底缘
imprecise	不严密的
unresponsive	反应迟钝的
luge	无舵雪橇
piper	吹笛者
dinner	晚餐
custard	奶黄
sliding door	推拉门
get cracking	开始
mutilation	残毁
peritonitis	腹膜炎
annual	年
battlefront	前线
basis	基础
characteristic	特性
apparition	幽灵
intranet	Intranet
rescuer	救助者
Walloon	瓦龙语
endodontics	牙髓病学
kilobyte	千字节
mistranslate	错译
moonlight	月光
neigh	嘶
stowaway	偷渡者
bandsaw	带锯
assassination	暗杀
hollow out	挖空
microwave	微波
ear trumpet	助听筒
concert grand	平台大钢琴
match	火柴
totalitarianism	极权主义
continue	继续
Sunday	星期天
interstellar	星际
commute	通勤
woodcock	鸟鹬
cubic centimeter	立方厘米
sulfadiazine	磺胺嘧啶
ravish	强夺
thrall	奴隶
questionably	可疑地
epicycle	本轮
morgue	停尸房
stair	楼梯
banshee	丧门神
fjord	峡湾
political party	党
hendiadys	重名法
Togolese	多哥的
America	美洲
Cambridge	剑桥
colon	冒号
aviation	航空
tyrannize	欺压
eroticism	性爱倾向
fencing	围栏
trial	试验
criticise	批评
gaunt	憔悴的
cabriolet	蓬式汽车
catalepsy	全身僵硬症
cyclist	骑自行车
geriatrics	老年病学
disapproval	不赞成
walnut	核桃
takeoff	起飞
dynamics	动力学
modernization	现代化
cabin	舱
give out	散
suburb	郊区
yew	紫杉
spur	马刺
hodgepodge	杂菜
monk	僧
ken	知识范围
pallid	苍白
voluntary	自愿的
Hobart	霍巴特
garland	花环
matriculation	入学
supersaturated	过饱和的
angular velocity	角速度
symbolise	象征化
peat	泥炭
disappearance	失踪
love child	私生子
ukase	布告
Melbourne	墨尔本
Tallinn	塔林
cluster	簇
prospector	采矿者
Basque	巴斯克语
aquaphobia	水恐怖
colt	小马
fume	熏
portentously	不吉地
lexicographic	词典的
athlete	运动员
artichoke	洋蓟
mucous membrane	黏膜
Persephone	珀耳塞福涅
clique	阀
warlord	军阀
archaeology	考古学
watch pocket	表袋
deceleration	减速
parachuting	跳伞
dimple	酒窝
bond	债券
cudgel	棍
glower	瞪眼
separate	分开
fledgling	雏鸟
flaunt	炫
gray	灰色
fraternal	兄弟的
executable	执行档
Daedalus	代达罗斯
morbid	不健全的
leeward	下风的
bey	州长
cluck	咯咯地叫
consubstantial	同质的
greatcoat	外套
tingle	麻
vasa vasorum	血管滋养管
magnanimous	慷
scratch	抓
restless	浮躁
bornite	斑铜矿
nap	盹
rocking chair	摇椅
buffer solution	缓冲溶液
soprano	女高音
Lao	老挝语
ventral	腹部的
wonderfully	极好地
miff	小争执
sermon	说教
stogie	长靴的一种
golden mean	黄金分割
tendril	蔓
Yom Kippur	犹太赎罪日
bolide	火流星
rest mass	静止质量
slice	片
dog days	三伏
powwow	巫师
cuckold	亀
aristocrat	贵族
apposition	并置
roving	粗纱
certainty	确信
century plant	龙舌兰纤维
keloid	瘢痕疙瘩
hyponatremia	低钠血
sociocultural	社会文化
senescence	衰老
citrate	柠檬酸盐
grey matter	灰色物质
foster father	养父
arrest warrant	逮捕证
ichthyosaur	鱼龙
acculturative	文化适应的
key lime	墨西哥莱檬
synopsis	概要
culmination	顶点
temptation	诱惑
stellar	恒星的
squander	浪费
sweetness	甜
succession	继承
invariant	不变量
conversationalist	健谈者
grandee	显贵之人
joust	马上枪术比赛
scalability	延展性
adoration	崇拜
epicentre	震中
driveway	车道
remarry	再婚
paterfamilias	家长
straitjacket	紧身衣
egg timer	煮蛋计时器
mugful	一杯的量
so	偌
abhorrence	痛恨
congress	国会
permission	许可
add-on	附加设备
tune in	收听
trough	槽
ferret	白鼬
animate	有生命的
smokeless powder	无烟火药
decorative	装饰的
restitution	偿
diplodocus	梁龙
earth science	地球科学
omnipresence	遍在
Rostock	罗斯托克
exterior angle	外角
tennis court	网球场
strange quark	奇夸克
sub-Saharan	撒哈拉以南的
unity	统一
up	上
bend	弯
throw away	扔
Eastern Orthodox	东正教的
arthropathy	关节病
corporate	共同的
tenacious	顽强
counterweight	平衡物
believably	信任地
heretical	异教的
jabot	胸部装饰
rail	轨
vine	藤
leftover	剩货
bicycle	自行车
CN Tower	西恩塔
invoke	祈求
baby grand	小型钢琴
quadratic equation	二次方程
coffer	保险箱
many-sided	多边的
bladder	膀胱
crossfire	交叉火力
palatable	美味的
anadromous	溯河性的
artistically	有艺术地
await	等待
boner	勃起
guitarist	吉他弹奏者
leper	麻疯病患者
overtly	公然地
Rus	罗斯
rolling pin	擀面杖
Lao People's Democratic Republic	老挝人民民主共和国
foodie	美食家
daddy	爸爸
cheekpiece	马勒带
Salt Lake City	盐湖城
Queensland	昆士兰
semibreve	全音符
anathema	诅咒
greenhouse	温室
drink	喝
haven	港口
bipinnate	二回羽状的
nectary	蜜腺
soloist	独唱者
thrombocytopenia	血小板减少症
ribwort	长叶车前
hydrogenation	氢化作用
astride	跨着
flatfoot	扁平足
sawbuck	锯木架
artesian well	自流井
tear duct	泪腺
praline	果仁糖
swirl	漩涡
compactness	紧密
aerodynamic	空气动力学的
genius	天才
blessed	䄚
analysis	分析
chink	裂缝
archaize	仿古
self-confident	有自信的
diacritic	可区别的
psychedelic	幻觉的
spacecraft	太空船
trireme	三层桨座之战船
urease	脲酶
uric	尿的
Grand Prix	大奖赛
Third World	第三世界
Lapland	拉普兰
taro	芋头
chamber of commerce	商会
Utah	犹他州
biennial	二年一次的
response	回答
charger	充电器
mothball	后备的
seminar	研讨会
spinal cord	脊髓
Delilah	黛利拉
assessable	可估价的
apricot	杏
autism	孤独症
vote	投票
leatherjacket	长脚蝇的蛆
linguistic	语言学的
disqualification	失格
summer school	暑期学校
straight flush	同花顺
otology	耳科学
algebra	代数学
Levant	累范特
Medan	棉兰
resume	重新开始
Sucre	苏克雷
apterous	无翅的
mangonel	投石机
bullpen	牛栏
sensualism	好色
innocently	无罪地
currycomb	马栉
Mussolini	墨索里尼
scientifically	合乎科学地
slowworm	蛇蜥
war chest	战争基金
opinion poll	民意测验
plasterboard	石膏板
picture book	图画书
Southern Cross	南十字座
rag doll	碎布制玩偶
third	第三
barrack	营房
principal	校长
win	赢
ideologist	思想家
knot	结
predator	掠夺者
sudden	突然
androgen	雄激素
bootstrap	拔靴带
ceric	高铈的
cleaner	清洁器
flagellate	鞭毛虫
limber up	变柔软
filing cabinet	档案柜
patronize	支援
lyceum	学园
fruit juice	果汁
lymph	淋巴
tramontana	屈拉蒙塔那风
Melanesia	美拉尼西亚
checkout	检验
substance	物质
commutation	变换
slope	坡
offensive	攻势
actually	其实
sweet flag	菖
aversion	厌恶
cardsharp	打牌常作弊者
headlock	将对手之头紧挟于腋下的一种摔角法
lugsail	后缘长的四角纵帆
mortise	榫眼
supercargo	货物管理员
hairstyle	发型
torque wrench	转矩扳手
fireball	火球
racemic acid	外消旋酸
percussionist	弹击乐器弹奏者
stamping ground	爱去的地方
Republic of Ghana	加纳共和国
East China Sea	东海
heel	脚跟
solid	固体
bell-shaped	钟形
luxury	豪华
log	计程仪
terminology	术语
buttermilk	酪奶
manioc	木薯
mixer	混频器
jigsaw	竖锯
packer	包装者
psycho	心理分析
naan	馕
reproof	申斥
otter	水獭
catatonia	紧张症
messianic	弥赛亚的
Kabul	喀布尔
trout	鳟鱼
lieutenancy	中尉之职
sepulchre	坟墓
endeavor	努力
enlistment	征募
pander	拉皮条
soy	大豆
