covenant	ஒப்பந்தம்
price	விலை
black pepper	மிளகு
braces	பல் இறுக்கி
grapple	பிடி
erection	விறைப்பு
recently	சமீபத்தில்
Milky Way	பால் வீதி
niche	மாடம்
peel	தோலுரி
plastic surgery	ஒட்டுறுப்பு அறுவை மருத்துவம்
take into account	கணக்கில் எடுத்துக்கொள்
tea	தேநீர்
Kingdom of Cambodia	கம்போடியா
electrocute	மின் சக்தியால் சாகடி
sycophancy	இச்சகம்
thermodynamics	வெப்ப இயக்கவியல்
writing desk	மேஜை
Sicilian	சிசிலியன்
Iran	ஈரான்
Paris	பாரிஸ்
lake	ஏரி
dump	நீக்கு
represent	உருவாக்கு
forbid	தடை செய்
afflict	வாட்டு
tendency	போக்கு
red	சிவப்பு
spittle	உமிழ்நீர்
abnormal	அசாதாரண
rogue	அயோகியன்
waiter	பரிசாரகர்
chilly	பச்சைமிளகாய்
lap	மடி
campsite	முகாம் அமைக்கப்பட்ட இடம்
disavowal	ஆங்கீகார மின்மை
Netherlands	நெதர்லாந்து
sociology	சமூகவியல்
tachometer	வேகமானி
tax evasion	வரி ஏய்ப்பு
disengage	தளர்த்து
Great Wall of China	சீனப் பெருஞ் சுவர்
obverse	எதிர்குதிர்
karaoke	வெற்றிசைப்பாடல்
white blood cell	இரத்த வெள்ளையணு
North Sea	வட கடல்
group	குழு
abolish	நீக்கு
discard	நீக்கு
sense	புலன்
lack	குறை
much	அதிகமான
altar	பலிபீடம்
natural	இயற்கை
murder	கொலை
barn	தானியக்களஞ்சியம்
suffer	அனுபவி
terrace	மச்சு
piano	கின்னரப்பெட்டி
single	ஒற்றை
theism	ஆத்திகம்
complexify	சிக்கலாக்கு
Congo	கொங்கோ குடியரசு
inflamed	சிவ
excommunicate	தள்ளி வை
erysipelas	அக்கினிக்கரப்பான்
perfumery	கந்தம்
standard	கொடி
durability	உறுதி
enough	போதுமான
distant	விலகியிரு
comprehensive	விசாலமான
hiccup	விக்கல்
local	உள்ளூர் அத்தொகுதி
normally	வழமையாக
nostalgia	வீட்டு நினைவு
one	ஒன்று
pericarditis	இதயப்பை வீக்கம்
seat belt	இருக்கை வார்
semifinal	அரை இறுதி
Tajikistan	தஜிகிஸ்தான்
Boston	பாஸ்டன்
Makalu	மக்காலு
underworld	அதம்
soot	அமுசு
overrun	நிறைதல்
certificate	சான்றிதழ்
loop	நெளிந்திரு
fragment	துண்டு
folder	அடைவு
odd	சின்னம்
horse	குதிரை
frequent	அடிக்கடி போ
bodyguard	மெய்க்பாப்பாளர்
divorced	மணமுறிந்தவர்
eternity	முடிவின்மை
vague	மழுப்பு
precise	துல்லியமாக
punnet	சிறிய கூடை
railway station	புகைவண்டி நிலையம்
west	மேற்கு
Lenin	லெனின்
Republic of India	இந்தியக் குடியரசு
Putrajaya	புத்ராஜெயா
Turkish	துருக்கிஷ்
mat	பாய்
asteroid	சிறுகோள்
central processing unit	மையச் செயலகம்
compartment	பிரிவு
refuse	குப்பை
wrangle	வாதாடு
lighten	குறை
hold up	தாங்கு
laziness	சோம்பல்
axe	கோடரி
lucidity	தெளிவு
reconsider	திரும்பப் பார்
refrigerator	குளிர்சாதனப் பெட்டி
incline	சாய்
veal	மாட்டுக்கன்று இறைச்சி
western	மேற்கத்திய
piastre	லெபனான்
DNA	ஆக்சிஜனற்ற ரைபோ கரு அமிலம்
advertise	எடுத்துக்கொள்
caulk	ஓட்டை அடை
eater	உண்போன்
ginseng	சீனப்பூண்டு
frustrating	தடைசெய்கை
greatest common divisor	மீப்பெரு பொது வகுத்தி
strength	வலிமை
incite	தூண்டு
greatness	மகத்துவத்தை
kernel	கரு
lamina	அடுக்கு
bubble	குமிழி
appetizer	பசி துண்டி
concession	சலுகை
backbone	முதுகெலும்பு
pinnacle	தூபி
gradual	கொஞ்சம் கொஞ்சமாக மாறு
next	அடு
beggary	இரவு
pitiful	இரக்கமான
postage	அஞ்சல் கட்டணம்
scavenge	காப்பாற்று
thermometer	வெப்பநிலைமானி
gruff	கரகர
landholder	அகமுடையான்
sequoia	கலிபோர்னியா செம்மரம்
New Mexico	நியூ மெக்சிகோ
upset	நிலைகுலை
insert	செருகு
advise	தெரிவி
ignominy	இழிவு
transport	நகர்த்து
mediation	மத்தியஸ்தம்
emit	பரப்பு
draw up	உறிஞ்சு
fop	பட்டதாரி
fission	பிரிதல்
conservative	பழமைவாதி
sigh	புலம்பு
damned	குறைகூறுகின்ற
identify	சுட்டிக் காட்டு
insurance company	காப்புறுதி நிறுவனம்
foolishness	அறியாமை
talkative	வாயாடி
emaciate	வாட்டு
Equatorial Guinea	ஈக்வடோரியல் கினியா
cruise	அலைந்து திரி
cauterization	சிடிகை
March	மார்ச்
heavenly body	வால்வெள்ளி
previously	முன்பாக
academician	கல்லூரி அங்கத்தவன்
stroller	குழந்தை தள்ளு வண்டி
jealousy	பொறாமை
ponder	கருது
extinction	தொலைவு
malignancy	கொடுமை
snitch	வெளிப்படுத்து
annotate	விளக்கு
gelatine	ஜெலட்டின்
incomplete	முற்றாக முடிவடையாத
indirectly	மறைமுகமாக
presidency	பதவி
revenge	பழி
menorrhagia	சூதகப்பெருக்கு
hysteria	நரம்புவலிப்பு
dancing	தோரியம்
Austria	ஆஸ்திரியா
hook	தூண்டில்
curve	வளைவு
compact disc	குறு வட்டு
conflict	சண்டை
superiority	மேன்மை
pot	பானை
deduct	குறை
exert	முயற்சி செய்
hire	சம்பளத்துக்கு வேலையில் அமர்த்து
mention	குறிப்பிடு
henceforth	இனிமேல்
gene	மரபணு
inconsistent	முரண்பாடான
pest	பூச்சி
saturate	அமிழ்த்து
tension	பதற்றம்
primary	தொடக்க நிலை
withering	வானம்
chill out	சும்மா சுற்று
advocate	வக்கீல்
corrupt	மயக்கு
appear	தோன்று
cruel	கொடூரமான
foil	தடு
cede	ஒப்புக்கொள்
snow	பனி
fatless	மெலிந்த
vagrant	நாடோடி
trowel	கரண்டி
optimism	நன்மையில் என்றும் நம்பிக்கை
sibyl	சூனியக்காரி
wooden	மரத்தாலாகிய
Great Lakes	அமெரிக்கப் பேரேரிகள்
silent	அமைதியாக இரு
madras	சென்னபட்டணம்
tourmaline	துவரைமல்லி
soothingly	நயமாக
beaver	நீர்நாய்
broken heart	காதல் தோல்வி இதயம்
wealth	சொத்து
construction	கட்டுமான பணி
household	குடும்பம்
North America	வட அமெரிக்கா
eradicate	நீக்கு
CPU	சிபியூ
height	உயரம்
blow up	பெரிதாக்கு
admit	நுழையவிடு
aloof	தள்ளி
anyway	எவ்வகையிலேனும்
crystal	படிகம்
ass	கழுதை
iris	கருவிழி
feedback	பின்ஊட்டு
sticker	ஒட்டுப் படம்
tactics	உத்திகள்
wishful	ஆவலுள்ள
truthfulness	சத்தியவசனம்
peahen	மயில்
light bulb	மின்விளக்கு
stream	ஓடை
postage stamp	தபால்தலை
forest	காடு
dusk	மங்கல்
crease	சுருக்கு
compact	அடங்கு
procure	வாங்கிக் கொண்டு வா
absorb	கவர்
billionaire	கோடிஸ்வரன்
coral reef	பவளப் பாறை
courtyard	முற்றம்
hackneyed	புளித்துப் போ
incapacity	இயலாமை
minimization	ஆகக் குறை வாக்குதல்
stewardess	பணிப்பெண்
mutual	பரSபரம்
elastic	மாறு
charioteer	தேரோட்டி
Papua New Guinea	பப்புவா நியூ கினியா
Illinois	இலினொய்ஸ்
pawpaw	papaali
Akkadian	அக்கேதியன்
Cypriot	சைப்ரியாட்
tempest	புயல்
comment	குறிப்புரை
cool down	தணி
policy	போலீஸ்
counteract	அழி
parlour	கூடம்
ray	கீற்று
snatch	பறி
shopping	வாங்குதல்
woodland	காடு
severely	கடுமையாக
gill	மீன்செவுள்
obedient	கீழ்ப்படிந்துள்ள
rely	சார்ந்திருத்தல்
Lebanon	லெபனான்
Phoenix	பீனிக்ஸ் தளவுளவி
transact	காரியநடத்துதல்
Zagreb	சாகிரேப்
French	பிரெஞ்சு
Libya	லிபியா
chirography	எழுத்து
commerce	வர்த்தகம்
towel	துவாலை
plate	தட்டு
pain	வலி
opposite	நேர்மாறான
hindrance	அக்கிரமம்
commemorate	போற்று
ascend	ஏறு
auxiliary	உதவியாயிருக்கிற
enlighten	தெளிவுபடுத்து
county	மாவட்டம்
consign	ஒப்படை
disuse	உபயோகப்படுத்தாத நிலை
ulcer	புண்
twenty-one	இருபத்தியொன்று
percolation	ஊறல்
diphthong	சந்தியக்கரம்
consider	சிந்தி
stevia	Seeni Tulsi
Bridgetown	பிரிஜ்டவுண்
allocate	பங்கிடு
conjunction	இணை
reduction	குறைத்தல்
failure	செயலிழப்பு
cast	தேடு
adder	விரியன்
emptiness	அற்புதம்
fodder	தீவநம்
tone	தொனி
scarf	விழுங்கு
embarrass	சங்கடப்படுத்து
shorthand	சுருக்கெழுத்து
dilapidated	இடி
maraud	சூழ்ந்துகொள்
urination	அற்பாசனம்
widowhood	இடபி
neutrality	உதாசீனம்
reasonableness	தாரிசம்
simply	பக்து
Kiev	கீவ்
Esther	எஸ்தர்
welding	இணைப்பு
bid	அழை
employment	தொழில்
procedure	செயல்முறை
Yoruba	யோருபா
credit	நம்பிக்கை வை
appraise	மதிப்பிடு
literati	சங்கம்
os	எலும்பு
chalk	சுண்ணாம்புத் தூளால் குறியிடு
veterinarian	மருத்துவர்
hoop	வளையங்களால் கட்டு
intensive care	தீவிர சிகிச்சை
lubricant	உராய்வு நீக்கி
grin	சிரி
minefield	சுரங்க வயல்
stencil	வார்ப்புரு
turquoise	நீலப் பச்சையான
ultrasonic	கேளா ஒலி
mature	வாடு
Diana	டயானா
louse up	கெடு
incinerate	சுட்டுப்பொசுக்கு
geld	விதையடி
citric acid	எலுமிச்சம்புளிப்பு
nitric acid	நைட்ரிக் காடி
Alexander the Great	பேரரசன் அலெக்சாந்தர்
Croatian	சுராவேசியன்
relish	சுவை
pussy	பூனை
hungry	pasi
print	அச்சு
credit card	கடன் அட்டை
repair	பழுது பார்
oblique	சாய்வான
carriage	வண்டி
solitude	தனிமை
facility	வசதி
slug	அடி
cowshed	கோட்டம்
disintegrate	அறு
fact	உண்மைச் சம்பவம்
feline	பூனை போன்ற
hyperthyroidism	அதிகளவு கேடயச் சுரப்பு
occasional	அவ்வப்போது
pediatrics	குழந்தை மருத்துவம்
silverware	வெள்ளிப் பொருட்கள்
saucer	ஏந்துதட்டு
talkativeness	தொடர்ச்சியாக பேசும் சுபாவம்
usher	அழைத்து வா
dehydrate	நீர் இழக்க செய்
distention	உப்பல்
coot	கரண்டம்
catgut	நரம்புக்கயிறு
Ancient Greek	பண்டைய கிரேக்கம்
Northern Territory	வட ஆஸ்திரேலியா
actuate	தூண்டு
safety	பாதுகாப்பு
assistant	உதவியாளர்
bronze	வெண்கலம் பூசு
snipe	சுடு
cacao	கொக்கோ
spin	சுற்று
unsteadiness	சுழற்சி
comb	சீப்பு
incriminate	குற்றம் சுமத்து
convict	குற்றவாளியெனத் தீர்ப்பளி
fossil	தொல்லுயிர் எச்சம்
perceive	உணர்
resin	பிசின்
precocious	படுசுட்டி
voiceless	ஒலியற்ற
Pluto	புளூட்டோ
misapprehend	தவறாகப் புரிந்துகொள்
baobab	ஆனைப்புளி
diminishing	கதுவாய்
mare	குதிரைமறி
resounding	குமுறல்
euthanasia	நல்லசாவு
persevere	நெருக்கு-தல்
devoutness	பத்திமை
sedimentary rock	படிவுப் பாறை
corroborate	உறுதிசெய்
idea	எண்ணம்
intimidate	பயமுறுத்து
battlefield	போர்க்களம்
cackle	கூவு
buckle	மாட்டு
frock	ஆடை
cumbersome	சிக்கலான
firewall	கணினி. அரண்
monarchy	முடியாட்சி
radiologist	நுன்கதிர் இயக்க நிபுனர்
Quebec	கியூபெக்
neuralgia	ஒற்றைத்தலைநோய்
profligate	காமாதுரன்
westerner	குடகன்
forethought	முன்னெண்ணம்
lux	லக்ஸ்
lullaby	தாலாட்டு
dim	மங்கு
fate	விதி
exalt	மேம்படுத்து
equal	நிகர்
embrace	தழுவு
enthusiasm	உற்சாகம்
occupy	அடை
bastard	முறை தவறிப் பறந்த குழந்தை
plot	சூழ்ச்சி
strain	வடி
cravat	கழுத்துக்குட்டை
deafening	காது செவிடாகும் படியாக
lather	நுரை
gag	குமட்டு
park	பூங்கா
haircut	முடித்திருத்தம்
overwrite	மேல் எழுது
excerpt	எடு
practical	நடைமுறைக்குரிய
nominative case	எழுவாய்
grunt	சத்தம் போடு
oleander	அசுவபரி
perambulator	கைவண்டி
starve	பட்டினிகா-த்தல்
Mexico	மெக்சிகோ
polygon	பல்கோணம்
unify	இணை
task force	பணிக்குழு
equivalent	மாற்றீடு
anthem	புனித கீதம்
attraction	ஈர்ப்பு
elimination	தவிர்த்தல்
basic	அடிநிலை
history	வரலாறு
shine	மிளிர்
riverbed	படுக்கை
audacity	துணிவு
kudos	புகழ்
unanimous	ஒருமனதாக
dermatitis	தோல் சிவந்து காணப்படுதல்
nowadays	இப்பொழுதெல்லாம்
mussel	கிளிஞ்சல்
deck chair	கித்தான்கட்டில்
Leo	சிம்மம்
ramify	பணை-த்தல்
Stalin	ஸ்டாலின்
Balinese	பலினீஸ்
register	பதிவகம்
view	காட்சி
keypad	விசைத்தளம்
peer	க்ஸ் வழியாக பார்
walk	நட
synonym	இணைச்சொல்
terabyte	டிராபைட்
include	சேர்த்துக்கொள்
hoax	மோசடி செய்
exposure	கதிர் வீச்சு
cashew nut	முந்திரி
hornet	குளவி
trestle	குதிரை
marathon	நெடுந்தொலை ஓட்டம்
notary	நொத்தாரிசு
Seattle	சியாட்டில்
deal	பிரித்துக்கொடு
malign	தீங்கு செய்
levitate	அந்தரத்தில் எழும்பு
skein	திம்மை
cherry	சேலாப்பழம்
polish off	முடி
unleash	விடுவி
wrestling	மல்யுத்தம்
take over	ஏற்றுக்கொள்
plaster	காரை போடு
chance	வாய்ப்பு
clinic	மருந்தகம்
fog	மூடுபனி
pelican	நாரை
delicate	இக்கட்டான
cardiovascular	இரத்த நாடி
wash	கழுவு
hence	அங்கிருந்து
mongrel	கலப்பினம்
dais	பீடம்
speedometer	வேகம்காட்டி
Thales	தாலஸ்
Kentucky	கென்ரக்கி
Sermon on the Mount	மலைச் சொற்பொழிவு
wade	தண்ணீரில் நட
palate	அண்ணம்
equality	சமத்துவம்
devil	பேய்
pitcher	செம்பு
addicted	அடிமையாகு
god	கடவுள்
troops	படை
burgle	அனுமதியின்றி செல்
impostor	ஏமாற்றுபவன்
cunning	தந்திரம்
salary	சம்பளம்
index finger	ஆள்காட்டி விரல்
molality	மூலக்கூற்றுவலு
plasma	பிளாசுமா
sailor	மாலுமி
surrogate mother	நடவுத்தாய்
sanctuary	கோயில்
tide	நீர்மட்டம்
improbability	அசம்பவம்
stimulant	உத்தீபகம்
brook	சகித்துக்கொள்
antimony	அந்திமன்
Yugoslavia	யுகோஸ்லாவியா
heap	குவியல்
thwart	மடக்கு
Galician	காலிஸியன்
acting	நாடகத்தில் நடித்தல்
translate	மாற்று
explain	விளக்கு
crib	அழி
awareness	விழிப்புணர்வு
bikini	நீச்சலாடை
wasp	குளவி
biography	வாழ்க்கை சரித்திரம்
brave	தைரியசாலி
vex	தொந்தரவு செய்
delivery	பிரசவம்
waver	தயங்கு
tranquillity	அமைதி
Uruguay	உருகுவே
inaccuracy	பிழை
global	முழுமையான
employ	உபயோகி
ripple	பரவு
accuse	குற்றம் சாட்டு
appease	குறை
exception	விதிவிலக்கு
rate	விகிதம்
engage	கவர்
clause	தொடர்
territory	நிலப்பகுதி
reinforce	ஊக்கமளி
gymnastics	சீருடற்பயிற்சி
toilet	கழிப்பறை
mumps	தாளம்மை
national holiday	தேசிய விடுமுறை
pentagonal	ஐங்கோண
pocket money	கைச்செலவுக்கான பணம்
tigress	பெண் புலி
plod	நகர்தல்
spatter	தெறி
knock up	கருத்தரிக்கச் செய்
viscera	ஈரற்குலை
vermicelli	சேமியா
preamble	பாயிரம்
Jersey	ஜெர்சி
breadth	இடம்
hiding place	ஒட்டு
floor	மாடி
readiness	சேகரம்
dependant	உரிமை
noon	நண்பகல்
archery	வில்வித்தை
knob	குமிழ்
catastrophe	பேரழிவு
closely	நெருக்கடியான
owl	ஆந்தை
majority	பெரும்பான்மை
publishing	அறிவிப்பு
pierce	ஊடுருவு
Forbidden City	தாய்வான்
Ursa Major	அர்சா மேஜர்
disgorge	கக்கு
George Town	ஜோர்ஜ் டவுன்
favour	உதவி
chart	படம் வரை
award	வழங்கு
tug	இழு
team	குழு
society	சமூகம்
nickname	புனைபெயரிடு
rival	எதிரி
ghee	நெய்
demolish	அழித்துவிடு
scent	மணப்பு
engender	உண்டாக்கு
diabetic	நீரிழிவு
efficiency	வினைத்திரன்
molasses	பாணி
Idaho	இடாகோ
Herero	ஹெரேரோ
Somalia	சோமாலியா
chime	சத்தம் போடு
lancer	ஈட்டிக்காரன்
amicably	உடங்கு
Uzbek	உஸ்பெக்
Nigeria	நைஜீரியா
hen	கோழி
liken	ஒப்பிடு
faint	மயக்கம்
date	தேதி
move	அசை
scorn	தாழ்த்து
fragile	உடை
coal	நிலக்கரி
scoop	தோண்டு
squirm	நெளி
dribble	ஜொள்ளு
dysentery	பேதி
well-wisher	நண்பன்
spar	கழி
transpose	மாற்றி அமை
volleyball	வாலிபால்
Mount Fuji	ஃவூஜி மலை
bellyache	சத்தம் போடு
bloat	பருத்துவிடு
atrophy	அபிகாயம்
thieving	கள்ளம்
barbican	புறக்கோட்டை
approval	சம்மதம்
prevarication	புரட்டு
regain	பெறு
emphasize	வலியுறுத்து
debate	விவாதி
diagram	வரைபடம்
scream	கத்து
segment	பகுதிகளாக பிரி
entity	வஸ்து
singing	படிப்பு
smolder	புகை
recipe	செயல் முறை
monocyte	ஒருகலமுள்ள
exterior	வெளிப்புறம்
pharmacology	மருந்தியல்
rinse	அலசு
salivation	உமிழ்நீரூறுகை
beach chair	கித்தான்கட்டில்
pelvis	இடுப்பு வளையம்
protoplasm	ஜீவாணு
Martinique	மார்டினிக்
pelt	mudi
cityscape	நகர அமைப்பு
horn	கொம்பு
dog	நாய்
legacy	மரபுவழி
partnership	கூட்டுரிமை
grotto	குகை
bell pepper	கறிமிளகாய்
backache	முதுகுவலி
skinhead	மொட்டை
mate	நண்பன்
dew	பனி
remote	தொலைவு
comprehend	அனுபவி
timberland	காடு
lac	தரம்
musket	துப்பாக்கி
mortification	உபத்திரவம்
tobacco pipe	சுங்கான்
silk	பட்டு
thereof	அதனுடைய
religionist	சமயி
petitioner	பிதவி
rainbow	வானவில்
abscess	சீழ் பிடித்த கட்டி
receipt	ரசீது
subscribe	சந்தாதாரர்
wizard	வழிகாட்டி
mortar	பீரங்கி போடு
actual	உண்மையான
responsibility	பொறுப்பு
cap	ஊத்தி மூடு
garage	வண்டிக்கொட்டகை
hardware	கணினி வன்பொருள்
irregular	ஒழுங்கற்ற
marker	அடையாளமிடுதல்
producer	உற்பத்தியாளர்
tundra	துருவப் பகுதிப் பாலை வனம்
blanch	வெளிறு
obligate	அவசியப்படுத்து
tot up	பட்டியல் தயார் படுத்து
middle class	இடையாயார்
revival	உணர்ச்சி
Belgium	பெல்ஜியம்
cubism	கியூபிசம்
reduce	குறை
download	இறக்கம் செய்
symbol	குறியீடு
install	நடு
understand	உணர்
mock	கேலி செய்
college	சங்கம்
termination	எல்லை
solace	ஆறுதல்
chuckle	நகை
luggage	பயணப்பெட்டி
millionaire	கோடீஸ்வரன்
mythology	தொன்மவியல்
schedule	ஒழுங்கு செய்
earmark	ஒதுக்கி வை
tapioca	ஆளுவல்லி
cuddle	தழுவிக்கிட
whetstone	இடங்கம்
creation	படைப்பு
stop	நிறுத்து
quarrel	சண்டை
paraphernalia	உபகரணம்
bead	சிறுமணி
public	பொது
digital camera	எண்ணியல் படக்கருவி
parapet	பொம்மை
funeral	இழவு
naturalistic	யதார்த்தத்தை விரும்புகின்ற
productive	உற்பத்தியாகும்
puppet show	பொம்மலாட்டம்
teenager	பதின்ம வயதினர்
inappropriate	சரியில்லை
defecate	இரண்டுக்குப்போ
justly	நியாயமாக இரு
monotheism	தேவன்
pulpit	பிரசங்கத்தொட்டி
lutetium	மிளிரியம்
wish	ஆசை
ancestor	முன்னோடி
couple	இரண்டு
fearful	பயப்படு
abrasive	உராய்வுப்பொருள்
doggedness	பிடிவாதம்
gorilla	மனிதக்குரங்கு
escort	வழிகாட்டு
chieftain	சாமி
catarrh	சளி
sailing ship	பாய்மரக் கப்பல்
thirsty	தாகமாக இரு
retort	எதிர் குற்றம் சாட்டு
eyesore	கண்வலி
Vientiane	வியஞ்சான்
intelligence quotient	நுண்ணறிவு எண்
teacher	ஆசிரியர்
prop	முட்டுக்கால்
jungle	காட்டில்
health	நலம்
amiable	விரும்பத்தக்க
sediment	வண்டல்
core	கொட்டை எடு
kite	பட்டம்
hassle	நச்சரி
committee	செயற்குழு
fire drill	தீ எச்சரிக்கைப் பயிற்சி
headmaster	பிரதம உபாத்தியார்
voyage	கடற்பயணம்
rash	அவசரப்புத்தயுள்ள
melon	மெலன்
neighborhood	அக்கம்பக்கம்
softly	மெதுவாக
sociable	கூடிப் பழகும் இயல்புமிக்க
solar energy	சூரிய சக்தி
unauthorized	அனுமதிபெறாத
acclimatize	பழக்கு
strut	முட்டுக்கால்
ham	ஓவர் ஆக்ட் பண்ணு
emissary	ஒற்றன்
freeway	விரவுச்சாலை
twine	பாசம்
deduction	கழிவு
after	பிறகு
fringe	ஓரம்
abrasion	சிராய்ப்பு
audition	திறமையைக் கண்டறியும் சோதனை
whinny	கத்து
jangle	அடி
bovine	மாட்டு
pickpocket	செப்புமாரி
empty	காலி
mischief	ம்
umlaut	உயிர் எழுத்து உச்சரிப்பு மாற்றம்
Ukraine	உக்ரைன்
Victoria	விக்டோரியா
clatter	சத்தம் போடு
lounger	கித்தான்கட்டில்
infix	பதி-த்தல்
operation	இயக்கம்
ability	ஆற்றல்
manliness	ஆற்றல்
weaken	பலவீனப்படுத்து
loathing	வெறுப்பு
bombard	துளை
perish	அழி
ashamed	வெட்கப்படு
backside	பின் பக்கம்
toot	ஊது
rooster	சேவல்
imagination	கற்பனை
concoct	சேர்த்து உருவாக்கு
cylinder	கலன்
progeny	குழந்தைகள் - பொதுவாக
quill	இறகு
limousine	உல்லாச ஊர்தி
Neanderthal	நியண்டர்தால் மனிதன்
crackle	சத்தம் போடு
dung beetle	உருள்வண்டு
space probe	விண்ணுளவி
daffodil	பேரரளி
animal	விலங்கு
fluorine	வினைவியம்
wrong	தவறு
inequality	சமமின்மை
disrupt	கலை
brother-in-law	அத்தான்
prey	இரை
newcomer	விருந்து
foreigner	வெளிநாட்டவர்
fiction	புதினம்
he-goat	வெள்ளாடு
molecule	மூலக்கூறு
nocturnal	இரவு சார்
slippery	பிடிகொடுக்காமல்பேசுகிற
pharyngitis	தொண்டைநோவு
Chinese	சீனம்
situation	நிலை
sandal	செருப்பு
gallium	மென்தங்கம்
programming language	ஆணைமூலம்
Javanese	ஜாவனீஸ்
understate	குறை
descend	இறங்கு
retard	கடத்து
show up	தோன்று
grain	தானியம்
prove	தெளிவாக்கு
cutter	வெட்கிறவன்
beautification	அலங்காரம்
fishmonger	மீன் வியாபாரி
stiff	பிடிவாதமான
precious	மதிப்புள்ள
keyhole	பூட்டில் உள்ள துவாரம்
octagon	எண்கோணம்
saving	சேமிக்கிறேன்
suspend	இடைநீக்கம்
scarecrow	வெருளி
monetize	நாணயமாக்கு
highway robbery	அதர்கோள்
mahout	ஆதோரணன்
gluttony	ஊப்பை
dragonfly	தும்பி
Virgin	விர்கோ
heaven	சொர்க்கம்
lamp	விளக்கு
contrive	உருவாக்கு
measurement	அளவு
breath	மூச்சு
cup	கோப்பை
porridge	கூழ்
campfire	சுடரொளிக் களியாட்டம்
hoist	உயர்த்து
democrat	ஜனநாயகவாதி
radiotherapy	கதிர் வீச்சு சிகிச்சை
twelfth	பன்னிரண்டாவது
underground	நிலமட்டத்துக்குக் கீழ் உள்ள
willow	அலரி போன்ற ஒருவகைச் செடி
nourish	சாப்பிடக் கொடு
fertilize	உரமிடு
sojourn	அல்கு
marksman	குறிசுடுனர்
originality	நூதனம்
ribosome	ரைபோசோம்
Scots	ஸ்காட்ஸ்
Feb	பிப்.
Hercules	ஹெர்குலஸ்
boat	படகு
temper	தணி
limitation	விளிம்பு
byte	பைட்
aggregate	ஒன்று சேர்
occurrence	நிகழ்வு
periodical	இதழ்
sheep	செம்மறி ஆடு
discredit	விடை
farmer	விவசாயி
amuse	சந்தோஷப்படுத்து
novice	கற்றுக்குட்டி
ripening	விளைவு
tiff	சச்சரவு
puppet	பொம்மை
groan	புலம்பு
international	சர்வதேச
pothead	கஞ்சா புகை பிடிப்பன்
Northern Ireland	வட அயர்லாந்து
insufficient	போதாது இரு
sodomy	சங்கலிகரணம்
Suva	சுவா
fountain pen	பவுண்டைன் பேனா
Norwegian	நார்வே
performance	செயல்திறன்
ordinal number	வரிசைமுறை எண்
initial	கையொப்பமிடு
belly	தொந்தி
shaft	அம்பு
scotch	நிறுத்தி வை
exceed	மீறு
slap	அறை
carbohydrate	மாவுசக்தி
partridge	கௌதாரி
islet	தீவு
misshapen	அவலட்சணமாய் அமைந்த
throw up	குமட்டு
whore	விபச்சாரி
recycle	காப்பாற்று
stepbrother	ஒன்றவிட்ட சகோதரன்
greatly	மிகவும்
viewer	தொலைக்காட்சிப் பார்வையாளர்
Republic of Angola	அங்கோலா
peach	நெல்லானி
trap	பொறி
ransack	புரட்டு
exercise	உடற்பயிற்சி செய்
lattice	சாளரம்
subtract	கழி
ecstasy	பரவசம்
bumblebee	தேனீ
backlog	பின்னுறுத்தல்
self-respect	மானம்
calculable	கணக்கிடத்தக்க
cove	சிறு குடா
coward	கோழை
cuckoo	குயில்
dipper	அகப்பை
second	நொடி
outdoors	வெளிந்ிலங்கள்
sturdiness	வலிமை
tiny	சின்னி
washable	கழுவத்தக்க
Montenegro	மான்டேனெக்ரோ
transmute	மதம் மாறு
purport	சாராம்சம்
plump	தடைஇய
lithium	மென்னியம்
guava	Goyya
layout	வடிவமைப்பு
take in	கவனி
powerful	கொடுமையான
abomination	வெறுப்பு
assess	மதிப்பிடு
divest	பறி
wisp	பிரி
accountability	கடமை
cunt	புண்டை
medical	மருத்துவ சம்பந்தமான
midwife	மருத்துவச்சி
padding	மெத்தையினாலன நீண்ட இருக்கை
teethe	முளை
bulge	புடை
disenfranchise	வாக்குரிமையைப் பறி
decoy	இணக்குப்பார்வை
dilation	பருக்கை
theosophist	பிரமஞானி
Oviedo	ஐக்கிய அமெரிக்கா குடியரசு
Nero	நீரோ
completion	கும்புறுத்தம்
lab	ஆய்வகம்
background	பின்புல
food	உணவு
assignment	பணி
whole	முழு
promptly	உடனடியாக
head off	தடு
bum	குண்டி
jester	கோமாளி
round	வட்டமாக்கு
creep	ஊர்
diffidence	கோழைத்தனம்
waylay	திருப்பு
raft	கட்டுமரம்
instantly	உடனே
ferry	ஃபெர்ரி
socialist	பொதுஉடமைவாதி
estuary	கழி
Bali	பாலி
surmount	ஏறிக் குதித்துப் போ
exaction	கட்டாயவசூல்
gaiter	கணுக்காலுறை
NATO	வட அத்திலாந்திய ஒப்பந்த அமைப்பு
sex	பாலுறவு
solder	கங்கை
scheme	திட்டமிடு
cutting	வெட்டி எடுக்கப்பட்டது
inebriation	போதை
whim	மனப்போக்கு
thus	ஊடாக
calculate	கணக்கிடு
drag on	இழுத்தடி
seedling	முளைக்கும் செடி
headache	தலைவலி
singer	பாடகர்
Comoros	கோமரோஸ்
Moses	மோசே
compute	கணக்கிடு
attention	கவனம்
interruption	குறுக்கீடு
architecture	கட்டிடக்கலை
plunder	பறி
latch	தாழ்ப்பாள்
do	செய்
more and more	மேலும் மேலும்
granite	கருங்கல்
stagnate	மந்தமாக இரு
