explanation	maelezo
scorn	dhihaka
liken	-sawazisha
conjuncture	-waza
spar	foromali
thieving	wizi
atrophy	-kondesha
coppice	kituka
dribble	-piga chenga
volleyball	voliboli
flatcar	msifu katara
bellyache	tumbo upekecho
squirm	kugaagaa
scream	yowe
exterior	wajihi
oryx	choroa
debate	mdahalo
segment	kitengwa
army ant	siafu
pharmacology	duka la madawa
pelt	nywele
approval	radhi
diagram	shauri
prevarication	uongo
emphasize	-sisitiza
rinse	-suuza
singing	uimbaji
marshy	chepechepe
zither	ganuni
self-criticism	kujitowa makosa
South Korean	Mkorea Kusini
Martinique	Martinique
cityscape	mwonekano wa jiji
petitioner	mtaka
partnership	bia
dog	mbwa
timberland	msitu
mate	rafiki
comprehend	fahamu
remote	chache
tobacco pipe	kiko
horn	pembe
dew	umande
musket	mtondoo
designedly	hiari
legacy	urithi
poacher	jangili
submachine gun	bunduki ya nusu mtombo
silk	hariri
subscribe	-jiunga
precis	muhtasari
cap	kofia
responsibility	jukumu
wizard	mchawi
garage	gereji
receipt	risiti
valiant	hodari
rainbow	upinde wa mvua
actual	yakini
abscess	jipu
free time	wasaa
cattle egret	yangeyange
obligate	-bidi
producer	mtengenezaji
mortar	kinu
hardware	maunzi
Monrovia	Monrovia
broadsword	upanga mpana
termination	uachishaji
reduce	-punguza
install	-weka
college	chuo
understand	-fahamu
Belgium	Ubelgiji
schedule	ratiba
symbol	alama
whetstone	suguo
luggage	mzigo
download	-pakua
mock	-chezea
enlightenment	mwangaza
pupa	kiwavi
concave	vungu
revival	ufufuko
Muse	Muza
mythology	mitholojia
stop	-simama
quarrel	ugomvi
public	hadhira
teenager	kijana
funeral	maziko
monotheism	mabwana
shutter	mlango
blacking	eusi
Patagonia	Patagonia
parapet	ukingo
pulpit	mimbari
bead	ushanga
defecate	-nya
creation	maumbile
rachitis	nyogea
Beirut	Beirut
licking	lamba
toggle	gura
digital camera	kamera dijiti
wish	mapenzi
ancestor	mzazi
choline	kilima
gorilla	sokwe
sailing ship	jahazi
retort	magombezo
abrasive	kali
chieftain	fumo
escort	ufuasi
steering wheel	usukani
couple	ndoa
recurrence	chamko
lutetium	luteti
Honduran	Mhondurasi
Vientiane	Vientiane
kite	kisusuli
health	afya
rash	kipwepwe
jungle	mwitu
prop	nguzo
strut	-tamba
teacher	mwalimu
committee	kamati
headmaster	hedimasta
neighborhood	mtaa
voyage	safari
ethnicity	ukabila
amiable	-pole
softly	-pole
core	kiini
ham	hemu
melon	tikiti
well-bred	taadabu
headdress	ukaya
stale	matibwitibwi
sediment	mashapo
Madeira	Visiwa vya Madeira
after	baada ya
Abyssinia	Uhabeshi
deduction	mkato
empty	wazi
undergraduate	mwanafunzi
mischief	fitina
bovine	ngʼombe
Ukraine	Ukraini
abrasion	chubuko
fringe	tamvua
twine	kamba
pickpocket	mnyakuzi
notorious	mashuhuri
entourage	mwandamano
geometer	pimapima
clatter	-titima
Nicosia	Nikosia
Victoria	Victoria
ability	uwezo
pharmaceutical	dawa
operation	operesheni
perish	-zama
progeny	dhuria
weaken	-dhoofisha
rooster	jogoo
toot	theluji
quill	mcheche
bombard	-shambulia
crackle	-alika
ashamed	-ona haya
loathing	uchukivu
dung beetle	dundu
toga	rinda
backside	kundule
cylinder	kuru
manliness	ujanadume
imagination	uwazo
honey badger	nyegere
proudly	kwa matao
praseodymium	praseodimi
fire alarm	fyetua kamsa
animal	mnyama
wrong	kosa
herbage	majani
he-goat	beberu
Kingdom of Lesotho	Lesotho
foreigner	mgeni
newcomer	kizushi
lifestyle	kikao
fiction	uzushi
brother-in-law	shemeji
prey	mwindwa
pop	-chomoka
fluorine	florini
molecule	molekyuli
daffodil	nasisa
Chinese	Kichina
Javanese	kijava
descend	-shuka
recourse	dawa
cutter	mtema
grain	nafaka
precious	tunu
situation	hali
dragonfly	kerengʼende
sandal	kiatu
retard	-viza
stiff	yabisi
suspend	-tangua
saving	akiba
prove	-hakikisha
show up	-koleza
gluttony	ulaji
bookbinding	jalada
gallium	gali
Holy Ghost	Roho Mtakatifu
octagon	pembenane
thrush	kimenomeno
cup	kikombe
breath	pumzi
lamp	taa
measurement	kipimo
twelfth	kumi na mbili
heaven	mbingu
porridge	uji
hoist	-tweka
fertilize	-rutubisha
underground	chini kwa chini
Algonquin	Kialgonkwini
Hercules	Herkule
willow	mwerebi
Feb	Feb
groan	kite
periodical	gazeti
occurrence	tukio
granule	mbegu
insufficient	chache
boat	mashua
DOS	fanya
aggregate	hesabu
sheep	kondoo
farmer	mkulima
waterline	zinara
temper	hamaki
fountain pen	kalamu ya wino
amuse	-tumbuiza
tiff	hoja
discredit	-ponda
limitation	kizuizi
gusset	kijambia
caterpillar track	kiwavi
puppet	kibaraka
byte	baiti
cowbell	kivumanzi
carriage return	kirudishi
international	kimataifa
ripening	tosa
Suva	Suva
flyleaf	chafuo jani
Norwegian	kinorwei
islet	kiwa
performance	utendaji
shaft	uti
greatly	adhimu
initial	awali
belly	tumbo
exceed	-zidisha
misshapen	matemo
whore	danguro
peach	fyulisi
viewer	mtazamaji
slap	kofi
throw up	-kokomoa
securely	salama
carbohydrate	hamirojo
partridge	kwara
sudden death	fajaa
Republic of Angola	Jamhuri ya Angola
seventh	ya saba
diphtheria	difiteria
subtract	-kata
second	pili
dipper	kata
panga	panga
burin	kiteku
Montenegro	Montenegro
trap	mtego
plump	nono
exercise	zoezi
cuckoo	mtombo
coward	mwoga
tiny	kadogo
self-respect	ari
unscrupulous	fasiki
ransack	-fukua mizizi
shoebill	korongo-nyangumi
low tide	maji kupwa
Cuban	Mkuba
ecstasy	nishai
ununpentium	ununpenti
Ariadne	Ariana
take in	heria
imbecile	hayawani
powerful	imara
catchment	korongo
accountability	uwajibikaji
guava	pera
midwife	mkunga
decoy	-tega
adjutant	akida
layout	mpangilio
medical	tiba
assess	-thamini
occiput	kogo
bulge	-benuka
cunt	kuma
lithium	lithi
Oviedo	Muungano wa Nchi za Amerika
background	kinyume
whole	zima
round	duara
food	chakula
ferry	kivuko
completion	utekelezaji
waylay	-vizia
creep	-tambaa
seduction	shonga
jester	damisi
inexperienced	zuzu
bum	matako
raft	chelezo
estuary	mkono wa bahari
exaction	hongo
promptly	hidima
rhetorical	balagha
surmount	-kiuka
lab	maabara
socialist	mjamaa
schmaltzy	simikwa
NATO	Jumuiya ya Mkataba wa Atlantiki ya Kaskazini
bottleful	chupa
scheme	azimio
cutting	mchengo
headache	kichwa
thus	hivi
eastern	mashariki
frontier	mpaka
whim	kinyongo
sex	ngono
calculate	-hesabu
seedling	mche
singer	mwimbaji
solder	lehemu
genet	fungo
omnipotent	jabari
Comoros	Komoro
inebriation	leuleu
Taiwanese	Mtaiwani
German Democratic Republic	Jamhuri ya Kidemokrasia ya Kijerumani
Seville	Sevilla
drag on	burura juu
schoolgirl	chuo kigoli
chrysoprase	krisopraso
pterodactyl	pterodaktilo
wasteful	ovyo
do	-fanya
pick up	-chota
testimonial	shuhuda
attention	uangalifu
architecture	ujenzi
definitive	kataa
interruption	mdukuo
plunder	mateka
latch	komeo
compute	-anga
stagnate	-vilia
curator	mtunza
melting	myeyusho
Moses	Musa
granite	itale
analyse	ukale
Hakka	Hong Kong
Valletta	Valletta
elliptical	duara dafu
Malachi	Malaki
Adar	Adari
lavatory	msalani
bung	plagi
maybe	labda
direction	mwelekeo
discord	fitina
Oriya	Kioriya
ram	kondoo dume
scythe	mundu
jiffy	kitambo
wooden spoon	mkamshi
assortment	baadhi
tablecloth	kitambaa cha meza
nacre	lulumizi
joule	jouli
chemist	mwanakemia
vanguard	kiongozi
dawn	alfajiri
develop	-sitawi
dialect	lahaja
petrol	petroli
adult	mtu mzima
have	na
speak	ongea
Danube	Danubi
rag	kitambaa
ring	pete
chimpanzee	sokwe
cancellation	tanguko
untie	-fungua
granary	ghala
devour	-la
condemn	-laani
penny	peni
league	ligi
logic	mantiki
sombrero	shumberere
sash window	mkumbuu dirisha
sententious	joto jibwa
despise	dharau
discourage	-vunja
stimulate	-choma
sustenance	riziki
chat	-ongea
testicle	pumbu
undertake	-diriki
stand up	-inuka
destiny	ajali
mane	shungi
sloth	uvivu
betray	-saliti
axis	mhimili
provision	andao
decipher	-tambulisha
staff	mkongojo
holy	takatifu
sherbet	sharubati
sisterhood	undugu
Serbia	Serbia
week	wiki
intensity	uweza
worse	baya
Peking	Beijing
great	-kubwa
lay	-tia
abstention	mwiko
fundamental	kanuni
lesion	jeraha
infield	wadi
middle finger	kidole cha kati
airship	ndegeputo
Kislev	Kisleu
companion	mwenzi
discretion	akili
scope	cheo
gear	gia
ceiling	dari
legion	jeshi
about	kuhusu
ago	kabla ya
charmer	mchawi
decomposition	wozo
entice	-shawishi
assault	ugoni
gall	-chubua
inactive	goigoi
annihilation	kumbo
prelude	fatiha
slipperiness	utelezi
dinar	dinari
mimosa	mguruka
Spaniard	Mhispania
Switzerland	Uswisi
difficulty	shida
problem	tatizo
normal	-a kawaida
heroine	bingwa
agriculture	kilimo
tissue	nguo
munition	zana
carve	-chonga
birdlime	ulimbo
gust	kishindo
saint	mtakatifu
song	wimbo
atrocity	ukatili
tail end	kitako
parallel	sambamba
salad	saladi
southwest	akrab magharibi
Vulcan	Kanada
dial	bonyeza
Renaissance	Renaissance
sideways	upande
uninteresting	dufu
exhibit	-onyesha
lean-to	ubati
censure	kosa
vegetation	mmea
messenger	mjumbe
dame	msichana
narration	masimulizi
umbilical cord	kitovu
progression	mfululizo
coachman	saisi
erbium	erbi
deport	-hajirisha
toaster	kibaniko
kale	sukumawiki
wheat flour	unga wa ngano
voltage	volteji
sing	imba
greenhorn	mzuzu
secret	siri
dawdle	-sita
there	pale
steal	-iba
guile	ujini
prefer	-pendelea
crawl	-tambaa
vindicate	-burai
notation	noti
Quechuan	Mkechwa
delightful	taanisi
partake	shiriki
geyser	gaiza
dining room	mezani
release	-acha
also	pia
tire	-udhi
implement	chombo
rapid	-epesi
negus	limau
vegetable	mboga
grit	changarawe
wink	-konyeza
dispatch	utume
conclusive	tama
African	Mwafrika
winged	-enye mabawa
topic	mada
commit suicide	-jiua
public servant	diwani
denigrate	-kebehi
Kuwait	Kuwait
maze	mzingile
narcissus	nargisi
Cologne	Köln
dry cleaning	kausha mfuto
venison	nyama ya kulungu
Corsican	Kikosikani
boycott	-susa
humiliation	aibu
mind	akili
hoot	-zoma
eggplant	bilingani
tankard	chombo
window	dirisha
bedding	kilalio
adventurer	mzizimizi
hypocrite	mnafiki
alloy	aloi
automatic	-a kujiendesha
pharmacist	mchanganyaji dawa
English Channel	Mfereji wa Kiingereza
usage	desturi
entertainment	burudani
extract	muhtasari
leftovers	kiporo
flood	gharika
brain	ubongo
knowledgeable	juzi
napkin	kitambaa
import	-ingiza
diligently	kwa bidii
goodwill	uungwana
creeper	mkwezi
Australian	Mwaustralia
police car	tingʼatingʼa
schematically	kiada
melt	kuyeyuka
reiteration	kikariri
zoology	zoolojia
high jump	mashindano ya wanaume ya kuruka juu
magically	kiwanga
conclude	-ondoa
esteem	heshima
mishap	shani
happiness	furaha
hamlet	kijiji
parishioner	mteja
pa	baba
orange	chungwa
receive	pokea
associate	mshirika
discover	-gundua
dead	mfu
theft	wizi
cleave	-chana
gourmand	mlafi
gauze	shashi
consonant	konsonanti
hawser	dakawa
unpack	-omeka
cab	teksi
radon	radoni
quadrant	roboduara
madrasah	madrasa
Apia	Apia
freeware	programu dezo
desert	jangwa
care	nadhari
Andorra	Andorra
lexicon	msamiati
early	mapema
clove	karafuu
inspect	-kagua
original	asilia
drawl	-dodosa
agenda	ajenda
caul	tandabui
selfishness	choyo
distribution	enezi
typewriter	taipu
glade	kimwitu
sinker	chubwi
dismount	-shuka juu ya farasi
germanium	gerimani
Seoul	Seoul
Scottish Gaelic	kiskotlandi
agitate	-vuruga
gale	dhoruba
soft drink	togwa
beg	-omba
mine	-angu
Caracas	Caracas
really	kweli
consonance	mapatano
Seychelles	Shelisheli
sash	mkumbuu
Togo	Togo
snore	koroma
awake	-amka
gauge	kipimo
enmity	uadui
dragon	joka
parking	mbuga
skeleton key	kifunguo
olive	zeituni
participatory	shirikishi
seminary	warsha
Malabo	Malabo
virus	virusi
Jewish	kiyahudi
excessively	ovyo
require	-hitaji
bean	haragwe
calling	wito
sweet potato	kiazi
boundary	mpaka
dub	ita
missile	kombora
junction	njia panda
toothbrush	mswaki
skirt	sketi
satiate	-kinaisha
chigger	funza
artlessness	mghafala
heartbeat	mpigo wa moyo au mshipa
establish	-weka
state	hali
mathematics	hisabati
hem	pindo
cabbage	kabichi
chord	mapatano
cadaver	maiti
citation	mtajo
balance	mizani
shallow	juujuu
sail	shira
vocal	mwimbaji
manacle	pingu
permanence	umilele
Hellene	Myunani
field hockey	mpira wa magongo
Nepali	kinepali
soap	sabuni
police	polisi
narrative	hadithi
try	jaribu
in the first place	kwanza
locomotive	mashine
drummer	sogora
thunderbolt	umeme
artery	mshipa
introduction	dibaji
weld	-tambuza
genocide	mauaji ya halaiki
photographer	mpigapicha
Rio de Janeiro	Rio de Janeiro
solitary	gumba
fitting	kifu
bestiality	unyama
plant	mmea
ask	kuuliza
descendant	kizazi
path	njia
elementary school	shule ya msingi
worship	ibada
shortcoming	dosari
untruthfulness	uongo
feign	-singizia
in-law	mkwe
corporal	ombasha
lathe	kerezo
wavelength	safa
Ecclesiastes	Mhubiri
Kingdom of Denmark	Denmaki
Sweden	Uswidi
French Polynesia	Polinesia ya Ufaransa
Lutheran	Mlutheri
fortune	bahati
human race	dunia
belief	imani
zebra	punda milia
dispute	vita
emphasis	kazo
militant	mtendaji
tamp	-ponda
compiler	mtengenezaji
obsequious	dhalili
bulletin board	HUM
Mary	Mariamu
estimation	ukadiri
stairway	madaraja
derelict	lofa
elongated	mstatili
boldly	kishujaa
Ottoman Empire	Milki ya Osmani
Haitian Creole	Kihaiti
Indianapolis	Indianapolis
sumac	mchengele
ancient	kale
substantial	-ingi
puzzle	-fumba
fir	msonobari
skill	uhodari
butcher	mchinjaji
zeal	juhudi
gambol	cheza
passable	sawa
rib	ubavu
raisin	zabibu
liberated	-huru
revolutionary	mpinduzi
tuner	tuni
talon	ukomba
ratio	uwiano
dedicate	-tabaruku
chutney	achari
dominoes	dhumna
woodworm	buu mbao
stack up	-kongomana
earwax	uchafu wa masikioni
weep	kiliyo
break	kuvunja
mean	duni
radiance	wangafu
queer	basha
ascent	kipao
zone	eneo
paint	rangi
establishment	kuanzishwa
learned	juzi
dilute	-zimua
watercourse	wadi
carbon copy	nakala
placard	bango
temperate	kadirifu
baseline	mstari wa kitako
judo	judo
file cabinet	kabati la hati
Ezekiel	Ezekieli
abstract	muhtasari
in vain	bure
measure	cheo
Mandarin	Kimandarini
small	-dogo
ego	mimi
rescue	-okoa
countryside	shamba
rapidity	haraka
longing	hamu
tablespoon	kijiko cha chakula
ordinarily	aghalabu
mixture	mchanganyiko
crankshaft	fitokombo
larva	buu
yolk	kiini cha yai
renowned	mashuhuri
negotiate	-shauriana
matrimony	ndoa
molar	gego
El Salvador	Elsavado
caviar	huliwa
sodium	natiri
Carthage	Karthago
gas giant	pandikizi la gesi
pecan	pekani
birthday cake	keki ya kusherehekea siku ya kuzaliwa
swallow	meza
plane	ndege
prudence	busara
inflame	-chochea
office	ofisi
trivial	hafifu
delicious	-tamu
diving	mzamo
crevice	mwanya
plummet	timazi
in common	shirika
imperil	-hatarisha
exhalation	fukuto
recording	upimaji
straw	mrija
impurity	kijusi
treetop	kilele cha mti
Vaduz	Vaduz
outsider	winga – mshambuliaji wa pembeni
Demeter	Demetra
English	Kiingereza
go up	-paa
deception	uwongo
knight	farasi
fairness	haki
bust	kifua
merchant	mfanyabiashara
utter	-kubwa
lend	-azima
line up	-tunga
monument	mnara
documentation	mwongozo
gloss	dondo
yearly	kila mwaka
barometer	barometa
assign	-awadha
musk	meski
Mozambican	Mumsumbiji
unison	sauti moja
mutter	-sema tirivyogo la maneno
kindly	kiutu
rancor	chuki
spare part	kipande
siege	mazingiwa
pillow	mto
teapot	buli
deadpan	erevu
pee	mkojo
servant	mtumishi
architect	mjenzi
vehemence	nguvu
feel	-sikia
avert	-tenga
footbridge	mtatago
money changer	mbadili fedha
glare	-kodoa macho
torpedo	topito
upside down	fudifudi
lowering	mshushio
Allah	Allah
kerosene	mafuta
discussion	maneno
pip	ngʼanda
mill	kinu
acceptance	ridhaa
retainer	mtumishi
log out	toka
ensnare	-tega
destroyer	mvunja
overbearing	-jetea
marketing	mauzo
Gabonese	Mgaboni
conciliatory	suluhivu
Titus	Kaizari Titus
Dec	Des
tusk	pembe
ostrich	mbuni
better	afadhali
respond	-jibu
growth	ukuaji
United States of America	Marekani
kingdom	ufalme
habitat	makazi
shove	kikumbo
stoppage	mavilio
band	bendi
reward	thawabu
braggart	mkata
adequately	kikamilifu
mountain climbing	mpando
diadem	taji
simulate	-jitia
diabolical	-a kishetani
deferment	kukawiwa
whiten	wa -eupe
seashore	ufuko
cool	-poa
Belize	Belize
muddle	chafuko
sharp	-kali
all of a sudden	ghafula
disease	ugonjwa
storage	mlinzi
cardboard	bamba
slither	-tiririka
drydock	jahabu
respectively	mfululizo
motorway	barabara kuu
scribble	mchoro
meagerness	uchache
inert	tuli
insurance	bima
violation	tadi
marketplace	soko
multitude	pamba
merely	tu
circumcision	tohara
noble	sharifu
tarry	-usiri
illustration	kielelezo
scabies	upele
wipe out	futa nje
spurge	mnyapa
ounce	wakia
lampshade	chengeu
curlew sandpiper	chokowe domo-sululu
Haiti	Haiti
isthmus	shingo la nchi
stringy	nyuzinyuzi
photosynthesis	usanisinuru
Mbabane	Mbabane
preview	hakiki
neglect	-acha
capture	nasa
incision	chale
urge	haja
wild	korofi
garlic	kitunguu saumu
consummate	-timilifu
jovial	bashasha
paralysis	upooza
jest	masihara
moustache	masharubu
run down	-kebehi
gramophone	santuri
compatible	tangamana
spaghetti	tambi
resuscitate	-huisha
piglet	kinguruwe
Jamaican	Mjamaika
intention	nia
peck	-dona
custom	desturi
bent	kombo
education	elimu
corporation	kampuni
jacket	jaketi
Egypt	Misri
balustrade	ukingo
hamper	zuia
treatment	mgango
arrowhead	chembe
dinner	chakula cha jioni
barrel organ	santuri
dependability	uaminifu
custard	faluda
Chadian	Mchadi
gullibility	ubardhuli
favouritism	ubaguzi
Sikhism	Kisanskrit
Taipei	Taipei
hollow out	-komba
assassination	uuaji
continue	endelea
match	kiberiti
characteristic	hulka
basis	msingi
apparition	kizuka
rack	susu
ravish	-pokonya
commute	ubadilishaji
kilobyte	kilobaiti
moonlight	mbalamwezi
political party	chama cha siasa
rescuer	mkombozi
Yunnan	Yunnan
morgue	mochari
disappearance	uangamizi
separate	-tenga
Sunday	Jumapili
trial	jaribio
archaeology	akiolojia
cabin	kibanda
America	Marekani
athlete	mwanariadha
thrall	mabusu
spur	kikwaru
fencing	zunguko
gaunt	a huzuni
suburb	kiunga
walnut	jozi
pallid	safura
aviation	elimu ya rubani
colt	kinda la farasi
Togolese	Mtogo
stair	ngazi
colon	alama ya mkato
give out	jazi nje
monk	mmonaki
criticise	kulaumu
Basque	kibaski
Lao	kilaosi
scratch	-kuna
fume	moshi
Tallinn	Tallinn
cluster	shada
bond	mfungo
magnanimous	karimu
dimple	msingi
miff	matusi
voluntary	hiari
nap	-kupia
clique	kikundi
cudgel	gongo
gray	kijivujivu
fraternal	kidugu
tingle	-chacharika
cluck	-gogoreka
restless	tukutu
takeoff	urukaji
rocking chair	masuko kiti
so	basi
slice	bale
Rostock	Ujerumani
sermon	hotuba
powwow	mchawi
certainty	hakika
senescence	umri
add-on	nyongeza
wonderfully	-a ajabu
tendril	ukono
adoration	ibadi
dog days	jibwa mchana
foster father	kuza baba
ferret	fereti
bend	-pinda
bicycle	baisikeli
abhorrence	chukio
daddy	baba
congress	bunge
up	juu
temptation	jaribu
rail	lori
permission	ruhusa
coffer	bweta
squander	-badhiri
succession	fuatano
await	subiri
animate	hai
sweetness	utamu
leper	mkoma
trough	kihero
boner	ubaramaki
leftover	bariyo
bladder	kibofu
tenacious	stahimilivu
throw away	-tupa
drink	kinywaji
spacecraft	ndege
unity	umoja
haven	bandari
response	jibu
genius	uwezo
soloist	kongwe
vine	mzabibu
chamber of commerce	mnada
compactness	ufupi
blessed	mwenye heri
flatfoot	msifu futi
Lao People's Democratic Republic	Jamhuri ya Kidemokrasia ya Watu wa Laos
resume	muhtasari
principal	rasilimali
barrack	nyumba
Levant	Uturuki
vote	kura
Sucre	Sucre
algebra	alijebra
knot	fundo
analysis	mchanganuo
Medan	Indonesia
opinion poll	kura ya maoni
cleaner	msafishaji
seminar	semina
Catalan	Kikatalan
win	fora
luxury	anasa
third	-a tatu
aversion	karaha
substance	nyama
log	gogo
manioc	muhogo
offensive	makuruhi
endeavor	maelekeo
packer	mpakizi
heel	kisigino
buttermilk	mtindi
sudden	ghafla
pander	-kawadia
actually	tokea hapo
Kabul	Kabul
Azores	Azori
Melanesia	Melanesia
sepulchre	mwendo juu
slope	mteremko
sag	-nepa
intellectual	mweledi
terminology	istilahi
presentation	utoaji
live	-ishi
slaughterer	mchinja
relative	ndugu
Republic of Ghana	Ghana
solid	-zima
bed sheet	shuka
orchitis	kipumbu
casting	miminiko
shrubbery	kichaka
jock	mwanariadha
bless	-bariki
spiteful	ovu
bookstore	duka la vitabu
gong	upatu
pocket watch	saa ya mfuko
Baku	Baku
East China Sea	Bahari ya Uchina ya Mashariki
Hosea	Hosea
fold	-kunja
able	hodari
diet	ulaji
soy	haragwe
somewhat	kidogo
backyard	uani
bigot	dini
expensive	ghali
patch	kiraka
textile	kitambaa
dashboard	ubao
buyer	mnunuzi
hone	-noa
favourite	kipenzi
easily	urahisi
hooligan	mkoo
capsule	kibonge
flounder	-kweta
wounded	majeruhi
bolster	godoro
modestly	kwa matao ya chini
USSR	Urusi
city state	dola-mji
slowness	uzito
mad	majununi
abdication	uzulu
breakfast	chakula cha asubuhi
axil	gombo
tangle	kitata
linear	lineär
expose	-dhihirisha
perfection	ukamilifu
hilum	uzi
unconditionally	kenyekenye
stride	-tagaa
spectator	mtazamaji
arms	silaha
Angolan	Mwangola
suppurate	-tunga jipu
sleeping car	lala katara
caramel	karmeli
sin	dhambi
abate	-punguka
amputation	mkato
head	kichwa
bar	baa
mildness	baridi
quack	mponyi
novelty	kizushi
tackle	-pambana
juggler	mwanasarakasi
eavesdrop	-dukiza
lipstick	rangi ya mdomo
wed	arusi
Freetown	Freetown
skylight	anga epesi
metro	metro
morsel	kitonge
wake	kuamka
wisdom	busara
afternoon	alasiri
dissimilar	tofauti
wool	sufu
make up	-buni
juggling	mauzauza
hockey stick	gongo
cod	chewa
debris	fusi
bongo	bongo
effendi	afendi
millilitre	mililita
Nigerian	Mnijeria
yak	tapishi
Tampere	Tampere
draught	bia
Luo	Kijaluo
pier	gati
soon	punde
abdomen	tumbo
successful	fani
patiently	kikondoo
affectation	maringo
derrick	silingi
jeweler	sonara
microscope	hadubini
peep	-chungulia
lavender	urujuani
quarantine	karantini
privately	binafsi
ragged	chakavu
affectionate	pendevu
Rhine	Rhine
cartload	gari kiinikizo
conscript	sajili
Proverbs	Mithali
phonology	fonolojia
delusion	kiwi
recommendation	pendekezo
reserve	akiba
detestation	karaha
antelope	kulungu
solicit	ubembe
monkey	tumbili
Israelite	Kiyahudi
contract	kandarasi
tempo	mwendo
slow	polepole
thrust	kikumbo
violate	-fisidi
symptom	ishara
disdainful	-bezi
mandarin orange	kangaja
interaction	maingiliano
Pyongyang	Pyongyang
bantamweight	mpigaji misumbwi asiye zidi uzani wa ratli mia moja na sitini
apple juice	maji ya matofaa
low	-fupi
refuge	kimbilio
Mauritius	Morisi
May	Mei
evening	jioni
mining	uchimbaji
story	hadithi
here and there	huko na huko
mischievous	tundu
clutch	klachi
discrimination	ubaguzi
sower	mpanzi
peddler	mchuuzi
repository	weko
steak	steki
betrothal	arusi
lobby	kikundi cha ushawishi
put	-weka
lighthouse	mnara
feeling	jazba
cockerel	jimbi
wayfarer	msafiri
installation	uimarisho
struggle	mapambano
abstinence	tawasufi
choir	kwaya
gin	jini
vegetable oil	uto
adapter	adapta
Dakar	Dakar
portfolio	begi ya shule
fulfil	kutimiza
taunt	kuzomea
Sindhi	Kisindhi
last	-dumu
miserable	maskini
melody	mafuatano ya sauti
eye	jicho
gateway	lango
June	Juni
EU	Umoja wa Ulaya
porch	ukumbi
attempt	jaribio
comparison	upambano
foreboding	kibuhuti
cooperative	ushirika
adulteress	malaya
sparkler	kimetameta
drinker	mnywa
dusty	-tifu
luster	uangavu
Sirius	shiraa
convoke	-hudhurisha
Port Moresby	Port Moresby
penetrating	penya
celebrated	adhimisha
hand over	-kabidhi
wing	ubawa
pea	haragwe
mourn	-sonona
run	kukimbia
enter	-ingia
West Germany	Ujerumani ya Magharibi
manifest	-bainifu
speed	kasi
cell	kijumba
sprout	-ota
march	machi
lose	-poteza
eccentric	potoe
imperfection	dosari
researcher	mchunguzi
protrusion	mbenuko
desirable	hidaya
uneasy	-jituka
mother-of-pearl	lulumizi
Mexican	Mmeksiko
inpatient	katika vumilivu
Viking	Mvikingi
Japanese	Kijapani
throw	kutupa
threat	tisho
choose	chagua
pivotal	katikati
once in a while	mara kwa mara
aisle	meli
overlay	pokea
handiness	uwezo
slenderness	wembamba
Argentina	Ajentina
arch	tao
vehicle	gari
dovecote	kizimba
aluminium	alumini
townsman	mwanamji
Kigali	Kigali
sip	kunywa kidogo
brand	chapa
renunciation	ukatavu
dismal	hafifu
Beijing	Beijing
money	fedha
gulf	ghuba
winner	mshinda
permanent	-a daima
kidney	figo
hostage	kole
krypton	kriptoni
illustrator	mfafanusi
Allies	Urusi
pulverise	kusaga
stamp	stempu
stagger	-titia
skirmish	mpambano
sear	-unguza
comestible	chakula
fuck	kutomba
lassie	mtoto
partisan	mfuasi
diaper	winda
chastity	takato
doctrine	mafundisho
treasure trove	dafina
girth	uvimbe
sot	mlevi
cobra	fira
groom	bwanaarusi
compulsion	shurutisho
instance	halmashauri
steward	mngojezi
Laos	Laosi
rapist	mbakaji
wristwatch	saa ya mkono
declivity	genge
surround	-zunguka
turn off	-funga
pick	-chuma
humanity	ubinadamu
Monday	Jumatatu
perfectly	barabara
altogether	kabisa
merriment	sherehe
foundation	msingi
textbook	mwongozo
handicap	kilema
victor	mshindi
cauliflower	koliflaa
New Delhi	New Delhi
Juneau	Juneau
turning point	pindu kilembwa
contiguous	mpaka mmoja
blend	-changanya
member	mwanachama
yard	yadi
receptacle	chombo
crimson	ekundu
Albuquerque	Albuquerque
exhortation	onyo
search	tafuta
ride	-panda
mire	tope
pedestal	weko
distraint	burudani
brine	maji chumvi
roofer	mwezekaji
labyrinth	mzingile
Numidia	Numidia
proliferation	jamiana
profusion	miminiko
shell	ganda
sweetie	asali
billy goat	beberu
malady	ugonjwa
difficult	-gumu
stone	jiwe
skull	fuvu
think	-dhani
lisp	kitata
settler	setla
floppy disk	diski laini
accomplished	tekeleza
long jump	kuruka
price list	bei orodha
sum up	jumla juu
swig	puma
Azerbaijan	Azerbaijan
brilliant	almasi
bottle bank	chombo
silence	kimya
tap	mfereji
steamer	stima
slave	mtumwa
billfold	pochi
bet	sharti
mania	ulevi
shotgun	bunduki ya marisaa
falter	-dodosa
matchmaker	mshenga
molest	-baka
albatross	albatrosi
access code	nywila
go away	-ondoka
vamp	mrembo
fare	nauli
sacrifice	kafara
wit	ucheshi
eve	jioni
remind	-fahamisha
dictatorship	udikteta
adjudge	-amua
riches	utajiri
gore	-guta
bourgeoisie	ubepari
lackey	kibaraka
trill	madende
rumination	matafuni
marigold	tageta
Marshall Islands	Visiwa vya Marshall
MB	megabaiti
lord	bwana
slay	-chinja
scissors	mkasi
client	mteja
body	mwili
champion	bingwa
reference	cheti
