adjudicate	mengadili
Alexander the Great	Alexander yang Agung
employment	kebiasaan
hoop	lingkaran
appraise	menaksir
louse up	merusak
credit	kredit
grin	senyum
incinerate	terbakar
os	tulang
chalk	kapur
veterinarian	dokter hewan
geld	mengebiri
ultrasonic	ultrasonik
turquoise	pirus
decanter	tempat anggur
unlikeliness	hal yang tidak mungkin
dieresis	umlaut
Venetian	Venesia
welding	las
stencil	stensil
Turkestan	Turkestan
Diana	Diana
archduchess	Archduchess
Eurodollar	Eurodolar
umbra	umbra
nitric acid	asam nitrat
citric acid	asam sitrat
lubricant	pelumas
hydride	hidrida
phenol	fenol
Croatian	Kroasia
silverware	alat makan
print	menulis
pussy	tempik
facility	cepat
fact	fakta
carriage	gerbong
relish	mereguk
solitude	kesepian
feline	kucing
hungry	lapar
usher	membawa
repair	memperbaiki
slug	siput
boffin	ahli
oblique	condong
junket	pesta
saucer	alas cangkir
Ancient Greek	Yunani Kuno
disintegrate	hancur
dehydrate	mengeringkan
occasional	berkala
premarital	sebelum nikah
credit card	kartu kredit
coot	nama burung
distention	dilatasi
talkativeness	kebawelan
pediatrics	pediatri
soda pop	limun
loyally	dapat dipercaya
alalia	alalia
ester	ester
tampon	tampon
cornucopia	banyak
spin	memutar
cacao	kakao
perceive	merasa
persevere	lama
snipe	menembak
incriminate	melibatkan/menuduh
actuate	menyebabkan
comb	sisir
bronze	perunggu
safety	keamanan
assistant	pembantu
secondly	kedua
convict	narapidana
Northern Territory	Northern Territory
aide-de-camp	pembantu
Pluto	Pluto
misapprehend	salah mengerti
resin	getah
mare	kuda betina
pianist	pemain piano
sex act	persetubuhan
fossil	fosil
controllable	bisa dikuasai
precocious	dewasa sebelum waktunya
euthanasia	eutanasia
fricassee	daging halus stup bersaus
milk chocolate	cokelat-susu
resounding	bergema
aquaculture	akuakultur
horseshoe crab	belangkas
howitzer	howitzer
unsteadiness	kegoyahan
sedimentary rock	batuan sedimen
idea	ide
cumbersome	janggal
buckle	gesper
corroborate	membuktikan
intimidate	ancam
invasive	menyerbu
manipulation	manipulasi
forethought	antisipasi
Serbia and Montenegro	Serbia dan Montenegro
profligate	royal
monarchy	monarki
Quebec	Quebec
westerner	orang barat
frock	yurk
cackle	berkokok
flush toilet	tandas
battlefield	medan perang
yokel	orang pegunungan
radiologist	radiolog
gorse	semak berbunga kuning
lux	lux
dishware	tembikar
adjustable spanner	kunci Inggris
prudery	kekenesan
lemon juice	limun
Accra	Accra
Quintana Roo	Quintana Roo
nova	nova
neuralgia	neuralgia
firewall	tembok api
occupy	menduduki
quirky	kocak
briny	asin
strain	menyaring
practical	praktis
grownup	besar
bastard	bajingan
grunt	bunyi
lather	busa
equal	sama dengan lain
cravat	dasi
starve	kelaparan
dim	samar-samar
gag	banyol
embrace	memeluk
exalt	puji
excerpt	menarik
park	taman
plot	komplot
cockle	remis
fate	nasib
enthusiasm	semangat
lullaby	nina-bobok
deafening	memekakkan telinga
countervail	menyamaratakan
broadside	menyamping
pinchbeck	curang
physical education	PD
oleander	bunga oleander
perambulator	kereta bayi
haircut	potong rambut
nominative case	kasus nominatif
pharmacologic	farmakologi
suspended animation	mati suri
PLO	Organisasi Pembebasan Palestina
Balinese	Bahasa Bali
shine	bersinar
basic	terutama
nowadays	dewasa ini
history	sejarah
Leo	Leo
Mexico	Meksiko
unify	mempersatukan
NY	New York
kudos	pujian
momentarily	sebentar
unanimous	bulat
vertebral column	tulang belakang
attraction	daya tarik
equivalent	banding
ramify	bercerai
mussel	kerang
elimination	pengeluaran
rewarding	puas
Stalin	Stalin
anthem	lagu
pliers	penjepit
patriot	pahlawan
audacity	kurang ajar
rapeseed	perkosaan
malignant	remeh
metallurgical	berhubungan dengan metalurgi
importer	importir
decolonization	dekolonisasi
shakeup	reorganisasi
steeplechase	lari halang rintang
untoward	bertentangan
Northumbria	Northumbria
Saddam	Husain
polygon	poligon
dermatitis	dermatitis
Agent Orange	Agen Oranye
riverbed	bantaran
view	melihat
deal	bertransaksi
malign	berhati dengki
register	dialek
walk	jalan
trestle	kuda
hornet	tabuhan
marmot	marmot
peer	rekan
include	memasukkan
hoax	penipuan
synonym	sinonim
exposure	bayang-bayang
narcotic	narkotika
levitate	mengapung
shuttle	sekoci
Windhoek	Windhoek
scholarly	terpelajar
mitten	sarung tangan
elliptic	bujur
notary	notaris
logistical	logistik
alto	alto
marathon	maraton
in chorus	serentak
parabola	parabola
cashew nut	kacang mede
Seattle	Seattle
Nike	Nike
Oedipus	Oedipus
disaccharide	disakarida
chance	kesempatan
fog	kabut
layperson	orang awam
take over	beli
polish off	berakhir
delicate	halus
counterfoil	sisa
crate	kotak
palate	langit-langit
wash	cuci
unleash	melakukan
plaster	plester
wade	menyeberangi
cherry	ceri
clinic	klinik
Ugandan	orang Uganda
tuning	atmosfir
hence	sejak sekarang
agape	bingung
pelican	pelikan
anemic	anemia
airman	penerbang
dais	mimbar
consolidation	pengintegrasian
tombstone	batu nisan
wrestling	pemberantasan
cardiovascular	cardiovasculer
dressing table	kamar hias wanita
cathode	katode
speedometer	pengukur kecepatan
mongrel	anak haram
critically	tenat
anonymity	anonim
Kentucky	Bluegrass State
Sigurd	Sigurd
Thales	Thales
ataxia	ataksia
tide	pasang-surut
stimulant	perangsang
god	dewa
salary	gaji
devil	setan
cunning	licik
index finger	jari telunjuk
burgle	mencuri
sulfurous	panas
impostor	penipu
sanctuary	mazbah
bedcover	tutup
pitcher	kendi
sailor	pelaut
equality	kesamarataan
spirit level	taraf
addicted	bengkok
troops	pasukan
jerk off	bergoyang
myopic	rabun jauh
linnet	orang yang masih hijau
turbofan	mesin jet
improbability	hal yang tidak mungkin
plasma	plasma
smidgen	sekelumit
Oriental	Oriental Region
cysteine	sisteina
brook	kali
direct current	arus searah
thwart	cemburu
heap	timbun
waver	sedih
Yugoslavia	Yugoslavia
traitorous	cedera
translate	terjemah
wasp	tawon
vex	melukai
brave	berani
explain	menjelaskan
bikini	bikini
delivery	antaran adat
breadbasket	perut
Uruguay	Uruguay
acting	akting
tranquillity	damai
awareness	kesadaran
biography	biografi
livery	seragam kendaraan
Galician	Galisia
utmost	istimewa
gabby	banyak mulut
frill	renda
drained	padam
gristle	tulang rawan
antimony	antimon
double bass	bas betot
pagination	pemberian nomor halaman
in private	secara rahasia
pencil case	kotak pensil
sumo	sumo
Boer	Bangsa Boer
crib	mencedok
noble metal	logam adi
rate	derajat
mumps	beguk
global	global
engage	mempertahankan
Jersey	Jersey
clause	artikel
exception	perkecualian
toilet	kamar kecil
employ	gunakan
appease	mendamaikan
accuse	tuduh
reinforce	menyangga
territory	wilayah
ripple	riak
viscera	usus
gymnastics	olahraga senam
preamble	mukadimah
soybean	kacang kedelai
technological	teknologi
red wine	anggur merah
emulsion	emulsi
gravestone	nisan
spatter	percik
laughing hyena	dubuk
tigress	harimau betina
national holiday	libur resmi
hummingbird	ʼkolibriʼ
knock up	meletihkan
pentagonal	pangkalan induk
inaccuracy	ketidaktepatan
impenetrability	kekebalan
professionalism	profesionalisme
plod	bertualang
T-bone steak	Tulang T
vermicelli	vermiseli
Managua	Managua
Helios	Helios
Jocasta	Iokaste
photoconductivity	fotokonduktivitas
closely	baik
dependant	bergantung
knob	tombol
floor	lantai
owl	burung hantu
xanthous	oker
majority	kebanyakan
quartet	kwartet
booger	hantu
noon	tengah hari
Kampuchea	Kamboja
catastrophe	bencana
readiness	kegiatan
pierce	tusuk
disgorge	mengusir
Forbidden City	Taiwan
workplace	tempat kerja
furcate	bercerai
breadth	lebar
prettify	mempercakapkan
archery	panahan
unremitting	tak berkurang
publishing	penerbitan
jeep	jeep
godmother	pelindung
vaginal	vaginal
unscathed	tidak disentuh
George Town	George Town
Ursa Major	Ursa Major
precession	keutamaan
hiding place	persembunyian
encyclical	ensiklik
Herero	Herero
scent	bau
chart	bagan
chime	bunyi
favour	senang
tug	kapal tunda
addict	gila
outward	sebelah luar
efficiency	produktivitas
team	kelompok
rival	lawan
demolish	membongkar
society	masyarakat
engender	mengakibatkan
award	penghargaan
dire	membosankan
Somalia	Somalia
manservant	abdi
molasses	arak
nickname	julukan
meandering	menikmati
diabetic	kencing manis
conniption	perangai
viable	dapat dikerjakan
meshugge	gila/sangat bodoh
starfish	bintang laut
anthropophagy	pemakan daging manusia
sauerkraut	sauerkraut
overproduction	produksi berlebih
fain	lebih suka
ghee	minyak samin
Idaho	Gem State
u	U
food additive	aditif makanan
Uzbek	Uzbek
move	bergerak
hen	ayam
coal	batu bara
bloat	bengkak
date	tanggal
Brasilia	Brasília
scoop	sekop
scorn	mengabaikan
faint	pingsan
bureau	biro
fragile	rapuh
dribble	berliur
denominate	sebut
liken	banding
reddish	merah
Nigeria	Nigeria
scrumptious	enak
spar	spar
coppice	belukar
transpose	mengubah
bellyache	mengeluh
flatcar	rata
well-wisher	penyokong
squirm	bergerak
dysentery	disentri
volleyball	bola voli
genitalia	kemaluan
catalytic	katalitis
thieving	pencurian
Mount Fuji	Gunung Fuji
dressmaker	pencipta mode
atrophy	atrofi
gigantism	gigantisme
organic compound	senyawa organik
approval	persetujuan
debate	debat
pelt	lempar
entity	keberadaan
exterior	luar
diagram	bagan
Martinique	Martinique
scream	teriak
regain	mendapat balasan
rinse	kumur
smolder	bakar
prevarication	dusta
singing	lagu
pelvis	mangkuk
segment	segmen
emphasize	menekankan
pharmacology	apotek
inanition	kelesuan
recipe	resep
seamless	padu
pulmonary tuberculosis	batuk kering
marshy	berpaya-paya
zither	celempung
ripper	penyobek
protoplasm	protoplasma
freestyle	gaya bebas
monocyte	monosit
salivation	salivasi
chitin	kitin
cityscape	panorama kota
dog	anjing
dew	embun
timberland	hutan
remote	meninggalkan
mate	teman
horn	tanduk
eyepiece	Okuler
comprehend	mengerti
musket	bedil sundut
bell pepper	paprika
grotto	gua
mortification	kecewa
tobacco pipe	pipa
silk	sutera
stance	sikap
legacy	turunan
partnership	klab
designedly	dengan sukarela
act of God	bencana alam
petitioner	pemohon
subcontractor	pemborong bawahan
contrabass	kontrabass
spinet	piano kecil
permeability	dapat menyerap air atau gas
rondo	sanjak dua baris
heavy hydrogen	deuteron
thereof	dari sebab itu
deflagrate	berkobar
Pergamum	Pergamum
Guinevere	Guenevere
hematopoiesis	sanguifikasi
submachine gun	pistol mitraliur
actual	ada
rainbow	pelangi
wizard	penyihir
middle class	kelas menengah
irregular	gerilya
marker	spidol
tot up	jumlah
cap	topi
subscribe	berlangganan
receipt	kwitansi
abscess	abses
precis	abstrak
valiant	berani
garage	garasi
responsibility	tanggung jawab
obligate	membelit
blanch	bergerak karena takut
mortar	lesung
producer	pencipta
free time	waktu luang
henry	henry
hardware	perangkat keras
polytheism	politeisme
markup language	bahasa markah
Antlia	Antlia
forcibly	dengan berkesan
time and again	lagi-lagi
particle accelerator	pemercepat partikel
Gascony	Gascogne
Monrovia	Monrovia
tundra	tundra
Hezekiah	Ezekias
cattle egret	Kuntul Kerbau
termination	gencatan
luggage	bagasi
Belgium	Belgia
understand	mengerti
install	lantik
fruitcake	gila
mock	ejek
reduce	kecil
pupa	kepompong
solace	pelipur lara
earmark	mengalokasikan
schedule	jadwal
symbol	lambang
college	universitas
well-mannered	sopan
tapioca	tapioka
Aragon	Aragon
cuddle	belaian
millionaire	jutawan
concave	cekung
revival	kebangkitan
whetstone	batu asah
download	sedot
salamander	salamander
boiled egg	telur rebus
mythology	mitologi
cubism	kubisme
chuckle	tertawa kecil
Cynthia	Artemis
Muse	Muse
demineralization	demineralisasi
enlightenment	pencerahan
Guadalcanal	Guadalkanal
double agent	agen ganda
teenager	anak belasan tahun
licking	balasan
Beirut	Beirut
stop	berhenti
monotheism	monoteisme
creation	karya
public	khalayak
defecate	buang air besar
quarrel	bertengkar
paraphernalia	peralatan
blond	wanita berambut pirang
infirmary	rumah sakit
blacking	semir sepatu
productive	makmur
bead	manik-manik
pulpit	mimbar
shutter	bidai
unbroken	gencar
statuesque	lemah gemulai
funeral	pemakaman
melting pot	tempat melebur logam
toggle	sakelar lampu
puppet show	pertunjukan wayang
inconsiderately	mentah-mentah
justly	sepatutnya
empty-handed	tangan kosong
Patagonia	Patagonia
Chartres	Chartres
rachitis	rakitis
parapet	tangan-tangan
escort	antar
kinky	keriting
ancestor	leluhur
retort	balas
choline	bukit
wish	mau
thirsty	haus
Honduran	Honduras
pushover	alat permainan
abrasive	kasar
chieftain	kepala adat
dogma	dogma
swallow up	telan
ante	menaruh
couple	pasangan
fearful	takut
Vientiane	Vientiane
sailing ship	kapal layar
doggedness	ketekunan
mountain chain	barisan
steering wheel	kemudi
lutetium	lutesium
sunspot	bintik matahari
gorilla	gorila
rebarbative	pencegah
copula	kopula
recurrence	pengulangan
tantamount	setara
Indo-European	Indo-Eropa
Olympic	olimpiade
Eocene	Eosen
bizarre	aneh
core	sumber
kite	layang-layang
headmaster	kepala
teacher	guru
jungle	hutan
committee	panitia
rash	ruam
stale	basi
neighborhood	lingkungan
melon	melon
prop	menopang
voyage	perjalanan
acclimatize	menyesuaikan diri terhadap iklim
softly	diam-diam
ethnicity	suku bangsa
Formosan	Taiwan
emissary	utusan
hassle	gangguan
freeway	jalan tol
health	kesehatan
ham	ham
amiable	ramah
sociable	sosial
headdress	blangkon
refinery	kilang
strut	sangga
thick-skinned	tak mengenal kasihan
prenuptial	sebelum nikah
polymer	polimer
beheading	pemenggalan kepala
dendrite	dendrit
spec	spesifikasi
rusk	semacam roti
politburo	politbiro
sediment	sedimen
solar energy	energi surya
propellent	propelan
acidulous	asam
after	sesudah
twine	tali
Abyssinia	Abbesinia
empty	kosong
bovine	sapi
undergraduate	mahasiswi
infix	infiks
audition	mencoba
Whitsunday	Pentakosta
Ukraine	Ukraina
deduction	deduksi
youth hostel	asrama
abrasion	pengikisan
fringe	pinggir
whinny	meringkik
debauched	cabul
pickpocket	copet
mischief	kebodohan
entourage	rombongan pengiring
notorious	terkenal
eleemosynary	dermawan
heliocentric	heliosentris
misanthrope	orang benci kepada orang
deplorably	sederum
clatter	menggeletuk
jangle	bergerincing
umlaut	trema
metonymy	metonimia
Nicosia	Nicosia
Victoria	Victoria
Avogadro	Amedeo Avogadro
porphyria	porfiria
lanthanide	lantanida
progeny	anak
rooster	ayam jago
ability	kemampuan
backside	belakang
operation	operasi
perish	meninggal
loathing	kebencian
fire alarm	klakson
weaken	melemah
concoct	menganggap
toot	salju
ashamed	malu
quill	tulang
imagination	imajinasi
diametric	berlawanan
pharmaceutical	obat
boater	pastel daging babi
emeritus	pensiun
cylinder	tabung
ontogeny	evolusi
picky	berpilih-pilih
bombard	bertubi-tubi
praseodymium	praseodimium
nonpolitical	tak berpolitik
insurmountable	tak dapat diatasi
limousine	limusin
toga	toga
manliness	kejantanan
naiveness	sifat mudah tertipu
perihelion	titik lintasan bintang
crackle	meretih
Neanderthal	Neanderthal
blunderbuss	pemuras
molecule	molekul
pop	meledak
animal	binatang
wrong	salah
brother-in-law	ipar
slippery	licin
foreigner	orang asing
nocturnal	malam
cantaloupe	melon
disrupt	memotong
uterine	berkenaan kandungan
cognate	kata kerabat
locus	lokus
effluent	akibat
fiction	fiksi
lifestyle	gaya hidup
Kingdom of Lesotho	Lesotho
tenderize	mengajukan
prey	mangsa
inequality	ketidaksamaan
archimandrite	kepala biarawan
newcomer	orang baru
daffodil	bunga narsis
retriever	orang dapat mengembalikan barang hilang
perigee	perigee
winery	kamar kecil penyimpan barang
telco	telekomunikasi
herbage	tanaman/jamu
Babylonia	Babilonia
creamery	pemerah susu
stunning	menakjubkan
pharyngitis	faringitis
fluorine	fluor
digitization	digitalisasi
Chinese	Cina
Javanese	bahasa Jawa
prove	membuktikan
stiff	kaku
situation	situasi
grain	butir
dragonfly	capung
make it	datang
retard	dungu
contemn	menolak
poetic	indah
recourse	jalan
descend	turun
revulsion	kebencian
show up	muncul
precious	berharga
gluttony	makan
Virgin	Mariam
suspend	pecat
REM sleep	rem
sandal	sandal
programming language	bahasa pemrograman
Cannes	Cannes
cutter	pisau
ninny	bodoh
saving	pengawetan
gallium	galium
understate	memperkecil
fishmonger	penjual ikan
canoeist	pendayung
alpaca	alpaka
beautification	proses mempercantik
bookbinding	tempat penjilidan buku
keyhole	lubang kunci
scarecrow	orang-orangan
lacrosse	permainan pakai bola dan tongkat
catholicity	paham Katolik
Holy Ghost	Roh Kudus
octagon	oktagon
hoist	acung
contrive	bermaksud
cup	cangkir
quieten	menenangkan
Feb	Feb
stylus	gaya
chainsaw	gergaji listrik
Hercules	Hercules
heaven	surga
immensely	luar biasa
nourish	memberi makan
wrack	merusak
mystic	kebatinan
breath	nafas
Scots	Skotlandia
porridge	bubur
lamp	lampu
measurement	tingginya
Odessa	Odessa
in person	berhadapan
underground	ruang bawah tanah
Algonquin	Bahasa Algonquia
decker	tingkat
malaise	kelesuan
fertilize	menyuburkan
thrush	burung mavis
sojourn	kegagalan memuat
twelfth	keduabelas
democrat	demokrat
marksman	penembak jitu
willow	dedalu
cheddar	kas
osier	dahan anyaman
originality	keunikan
radiotherapy	radioterapi
campfire	api unggun
futurism	futurism
unequivocally	mentah-mentah
ribosome	ribosom
Languedoc-Roussillon	Languedoc-Roussillon
electrolyte	elektrolit
puppet	boneka
temper	sifat
sheep	domba
fountain pen	pulpen
boat	perahu
insufficient	canggung
aggregate	khandha
discredit	kejijikan
amuse	menenangkan
novice	bibit
xenophobia	xenofobia
limitation	pembatasan
granule	benih
international	internasional
Northern Ireland	Irlandia Utara
occurrence	kejadian
groan	merintih
medieval	kuno
farmer	petani
periodical	surat kabar
caterpillar track	kendaraan roda rantai
gusset	kekek
oink	menjerit
tiff	pertengkaran
byte	byte
rodomontade	gertak
sodomy	semburit
quisling	tidak setia /tanpa iman
oligarch	oligarki
economic growth	pertumbuhan ekonomi
DOS	DOS
idiolect	gaya bahasa seseorang
pacifism	pasifisme
waterline	lambung timbul
Suva	Suva
ripening	pematangan
Norwegian	orang Norwegia
Republic of Angola	Angola
greatly	sangat
peach	persik
virtuoso	ahli
shaft	tangkai
scotch	cermat
performance	prestasi
carbohydrate	gula
exceed	untung
throw up	muntah
islet	pulau
belly	perut
slap	tampar
stepbrother	saudara tiri
initial	asli
whore	pelacur
doyen	dekan
viewer	penonton
Ticino	Ticino
seventh	ketujuh
diphtheria	difteri
partridge	ayam hutan
misshapen	berbentuk cacat/buruk
ordinal number	nomor urut
silicate	silikat
sodium hydroxide	abu soda
sudden death	kekalahan pertama mengakhiri pertandingan
ephemeris	hari ultah
nitrous	gas penidur
bonhomie	keramahan
urology	urologi
discography	diskografi
subcommittee	panitia seksi kecil
securely	erat-erat
recycle	daur ulang
decongestant	dekongestan
yuan	yuan
cuckoo	burung tekukur
purport	arti
exercise	melatih
second	kedua
plump	montok
tiny	kecil
bumblebee	kumbang
outdoors	di udara terbuka
trap	jerat
subtract	mengurangi
ransack	menyerbu
Montenegro	Montenegro
coward	penakut
transmute	bertukar
cove	teluk
caecum	usus buntu
dipper	penimba
self-respect	mengagumi diri sendiri
low tide	air surut
panga	golok
down payment	panjar
washable	bisa dicuci
backlog	simpanan
lattice	kisi-kisi
barycenter	pusat massa
ecstasy	keasyikan
Russian roulette	Russian Roulette
effluence	limpahan
headroom	kebeningan
sturdiness	kekukuhan
Lake Ontario	Ontario
Ariadne	Ariadne
xylem	xilem
ununpentium	ununpentium
take in	terima
Oviedo	Amerika Serikat
padding	bantalan
guava	jambu
bulge	terkumpul
virtuous	suci
cunt	tempik
imbecile	orang pandir
powerful	kuat
abomination	kebencian
assess	menilai
layout	tata letak
dilation	dilatasi
decoy	umpan
arsenic trioxide	racun
ameban	ampuh
midwife	bidan
adjutant	pembantu
fearsome	menghebohkan
divest	merampas
medical	medis
accountability	akuntabilitas
occiput	tengkuk
lithium	litium
allusive	mengandung sindiran
milfoil	tanaman berbunga putih
fallow deer	rusa kecil
wisp	bintik-bintik
Thanatos	Thanatos
Nero	Nero
nucleic acid	asam nukleat
vivarium	terarium
Cambrian	Kambrium
fortified wine	anggur
bum	pantat
round	bulat
jester	badut
Bali	Bali
raft	rakit
promptly	segera
whole	seluruh
inexperienced	segar
ferry	feri
food	makanan
surmount	untung
creep	merayap
head off	menjauhi
NATO	NATO
background	pengalaman
instantly	segera
waylay	adang
seduction	godaan
assignment	tugas
chicken feed	kaca
estuary	muara
hearty	kuat
allied	sekutu
altruist	altruis
exaction	pemerasan
socialist	sosialis
schmaltzy	emosional
hirsute	berbulu
trailer	kereta gandeng
gaiter	penutup kaki
completion	pemenuhan
lab	laboratorium
rhetorical	retorik
blood donor	donor darah
loyalist	setiawan
Corona Borealis	Corona Borealis
hydathode	hidatod
dildo	dildo
Taiwanese	bahasa Taiwan
bottleful	botol
cutting	dingin
scurvy	hina
calculate	pikir
sex	seks
headache	sakit kepala
whim	keinginan
Comoros	Komoro
scheme	bagan
sceptical	ragu-ragu
schoolgirl	siswi
eastern	oriental
frontier	batas
thus	demikian
seedling	tunas
disoriented	bingung
singer	penyanyi
Seville	Sevilla
lifter	pendorong
drag on	menghela
German Democratic Republic	Republik Demokratik Jerman
omnipotent	mahakuasa
magnetic flux	fluks magnetik
ileum	usus penyerapan
inebriation	alkoholisme
solder	mematri
pterodactyl	pterodaktil
antiseptic	antiseptik
alpha	alfa
Catholic Church	Gereja Katolik Roma
Germinal	germinal
pick up	mengangkat
do	melakukan
analyse	bahas
well-nigh	dekat
therapist	penyembuh
attention	perhatian
latch	selot
plunder	menjarah
compute	memperhitungkan
Moses	Musa
elliptical	ringkas
more and more	semakin
wasteful	tolol
testimonial	bukti
chubby	gemuk
Campania	Campania
interruption	gangguan
Hakka	bahasa Hakka
industrialist	industriawan
definitive	tetap
architecture	arsitektur
splatter	percik
temptress	wanita genit
granite	granit
stagnate	mandek
forevermore	senantiasa
melting	cenderung menjadi cair
asphyxia	mati lemas oleh CO2
capstan	alat angkat
unpredictability	ketidaktentuan
curator	kurator
heterodoxy	penyelewengan
Channel Tunnel	Terowongan Channel
Malachi	Maleakhi
Champagne-Ardenne	Champagne
Ardennes	Ardennes
Valletta	Valetta
Anaximenes	Anaximenes
distaff	penenunan
cutin	kutin
Adar	Adar
Oriya	Oriya
maybe	mungkin
ram	tabrak
blue-green	biru
debit	piutang
direction	arah
joule	joule
detonate	meledak
auspices	perlindungan
assortment	campuran
lavatory	kamar mandi
discord	kekacauan
jiffy	sekejap
forte	dengan nyaring
Aleut	Aleut
vouchsafe	menjamin
jowl	pipi
scythe	sabit
chaotically	kacau-balau
tablecloth	taplak
chemist	apoteker
inhumation	pemakaman
dereliction	kelalaian
syllabic	suku kata
sesame oil	minyak wijen
bridgehead	pangkalan pijak
immigrate	berimigrasi
apprehensible	munasabah
haemodialysis	hemodialisis
monism	monisme
agnosticism	agnostisisme
Agrippa	Agrippa
nacre	gewang
ascorbic acid	asam askorbat
speak	bicara
have	punya
develop	kembang
untie	membuka
rag	lap
petrol	bensin
adult	dewasa
ring	cincin
dialect	dialek
Danube	Donau
chimpanzee	simpanse
ratatouille	lada
devour	menelan
dawn	subuh
condemn	memvonis
mystical	kebatinan
sententious	ringkas dan tajam
mollusc	moluska
league	asosiasi
cancellation	pembatalan
fluctuate	ubah
idiomatic	berhubungan dengan ungkapan
logic	logika
granary	loteng
vanguard	pelopor
penny	sen dolar
ossify	membatu
neurology	neurologi
preventable	dapat dihindarkan
queen mother	ibu suri
raccoon dog	anjing rakun
dullard	kebosanan
offprint	cetakan lepas
ingratitude	ketidaksyukuran
skimp	berjimat
existing	ada
stimulate	mendorong
stand up	bangun
pellucid	bening
chat	mengobrol
holy	suci
dobra	dobra
staff	tongkat
despise	menghina
betray	mengkhianati
sustenance	makanan
provision	perlengkapan
monotonous	tak banyak peristiwanya
undertake	membuat
discourage	menunduk
vital organ	organ
essayist	pengarang esei
mane	bulu tengkuk
spoonful	sendok
Serbia	Serbia
sherbet	limun
bagful	tas
testicle	buah pelir
northeastern	dari timur laut
step down	berhenti
lovelorn	kecewa
decipher	membaca
axis	sumbu
destiny	nasib
macroeconomic	makroekonomi
redundancy	kelebihan
ultramarine	biru laut
own goal	gol bunuh diri
sloth	kemalasan
haphazard	sembarangan
liberalize	men-deregulasi
lateral	lateral
putting green	lapangan Golf
great	besar
lay	meletakkan
worse	berat
lunar	bentuk sabit
lesion	lesi
fundamental	terutama
middle finger	jari tengah
disrespectful	kasar
tintinnabulation	kelenteng
week	minggu
wintertime	musim diŋin
Peking	Beijing
perilous	berbahaya
intensity	kuat
virulent	menular
consist	meliputi
infield	selokan
abstention	pantang
translatable	dapat diterjemahkan
herbivorous	hidup dari tumbuhan
nudism	nudis
computer programming	memprogram
airship	balon udara
antifungal	fungisida
discotheque	kelab malam
prevention	pemikiran ke masa lampau
inorganic chemistry	ilmu kimia eksperimen
annexation	penaklukan
biologist	ahli ilmu biologi
Linnaeus	Carolus Linnaeus
pheromone	feromon
Kislev	Kislew
linden	pohon linde
marvelous	bagus
legion	angkatan perang
bring in	bawa
about	sekitar
inactive	malas
gear	roda gigi
scope	lingkup
companion	teman
discretion	kebijaksanaan
ceiling	langit-langit
entice	bujuk
assault	menyerang
annihilation	neraka
dinar	dinar
Switzerland	Swiss
discourteous	biadab
ago	dulu
gall	empedu
decomposition	pembusukan
pressurize	menekan
Panama hat	pelaut
prelude	pembuka
poised	tenang
bureaucrat	pegawai negeri
house of cards	gagasan
gherkin	ketimun
charmer	menawan
vestry	sakristi
cerebral	berotak
blood pressure	tekanan darah
mimosa	pohon bunga mimosa
micrometer	mikrometer
Spaniard	orang Spanyol
slipperiness	kejasmanian
cheeseburger	burger keju
Great Bear	Bintang Biduk
bashfully	dengan rasa malu
Hyderabad	Hyderabad
Mao	Mao
angioma	angioma
tail end	pantat
gust	hembusan angin
southwest	barat daya
saint	santo
song	lagu
normal	biasa
tissue	jaringan
Vulcan	Kanada
problem	masalah
atrocity	kekejaman
sure thing	keyakinan
difficulty	sengsara
break out	membongkar
pose	meletakkan
manipulate	putar-balik
carve	pahat
parallel	sejajar
agriculture	pertanian
munition	amunisi
salad	salad
rouge	gincu
dial	memutar
Luke	Lukas
prestigious	prestisius
theoretic	teoretis
heroine	ksatria pengikut raja
gravitational field	medan gravitasi
buyback	penebusan
gable	dinding hadapan
kayak	kayak
kiwi	burung di Selandia Baru
banker	bankir
Mormon	Mormon
Mytilene	Lesbos
Cracow	Cracow
Fibonacci number	Bilangan Fibonacci
Renaissance	Renaisans
persona non grata	persona non grata
wallop	banting
dame	wanita
vantage	keuntungan
kale	kubis
narration	cerita
wank	coli
deport	membawa
endue	melapis/mengenakan
exhibit	pamerkan
don	mengira
spotlight	senter
sulky	perlahan
vegetation	vegetasi
life insurance	asuransi
thereby	begini
messenger	utusan
lean-to	tenda
progression	kemajuan
censure	mencela
coachman	kusir
trade name	nama dagang
sideways	miring
umbilical cord	tali pusat
erbium	erbium
triangular	tiga pihak
uninteresting	orang pandir
electrification	elektrifikasi
voltage	voltase
guilder	florin
reactor	reaktor
toaster	pemanggang roti
monasticism	cara hidup biarawan
croissant	roti kismis
beta radiation	sinar beta
antacid	antasid
holy water	air suci
there	sana
vindicate	alasan
greenhorn	anak
sing	menyanyi
partake	ikut serta
secret	rahasia
French Guinea	Guinea
guile	akal
prefer	lebih suka
delightful	seperti surga
steal	mencuri
goon	monyet
antique	antik
titillate	menggelitik
dawdle	ketinggalan
crawl	merayap
notation	catatan tambahan
inimitable	satu-satunya
tripod	tumpuan kaki tiga
engagement ring	cincin perkawinan
liquor store	kilang anggur
city hall	kantor walikota
geyser	geyser
industrialize	mengindustrikan
Hestia	Hestia
Pilate	Pontius Pilatus
aphasia	afasia
peduncle	pedunkel
Romans	Kitab Roma
salmonellosis	salmonelosis
African	Afrika
implement	menerapkan
negus	jeruk nipis
tire	ban
medallion	medali
rapid	cepat
