explanation	yorum
excerpt	seçmek
embrace	sarılmak
quirky	acayip
pinchbeck	darbuka
oleander	zakkum
gag	susturmak
strain	stres
fate	kısmet
plot	çizmek
bastard	piç
practical	kullanışlı
grownup	anaç
starve	araklamak
exalt	methetmek
lather	sabunlamak
equal	eşit
physical education	beden eğitimi
dim	bulanık donuk
park	park
broadside	borda
cravat	boyunbağı
cockle	buruşmak
enthusiasm	heves
overwrite	çiğnemek
perambulator	çocuk arabası
grunt	homurtu
white-collar	görevli
briny	tuzlu
occupy	işgal etmek
nominative case	ismin yalın hali
deafening	kulakları sağır edici
lullaby	ninni
haircut	saç tıraşı
refrigerant	soğutkan
countervail	sürtaks
anthem	ilahi milli marş
pliers	kargaburun
kudos	şeref
untoward	ters
malignant	habis
attraction	cazibe
basic	temel
purblind	anlayışsızlık
Leo	Aslan
polygon	çokgen
unanimous	aynı fikirde
unify	tek standarda uydurmak
nowadays	bugünlerde
shine	parlatmak
ramify	çatallaşmak
audacity	küstahlık
equivalent	eşit
momentarily	derece derece
dermatitis	deri iltihabı
history	tarih
steeplechase	engelli yarış
deck chair	hamak
mussel	midye
rapeseed	kolza
Mexico	Meksika
patriot	yurtsever
vertebral column	omurga
strawboard	samandan karton
shakeup	yeniden düzenleme
Stalin	Stalin
Balinese	Bali Dili
Agent Orange	Agent Orange
metallurgical	metalurji
regicide	kral katili
NY	EH
task force	çalışma kolu
importer	ithalatçı
decolonization	sömürge kolonilerden çekilme
deal	açıklamak
walk	yürümek
exposure	açma
filet	ağ
peer	akran
hoax	muziplik
view	görünüm
scholarly	âlime yakışır
synonym	eşanlamlı
register	kaydetmek
pyrolatry	ateşe tapma
malign	iğrenç
trestle	sehpa
logistical	biçimsel
marmot	dağ sıçanı
hornet	eşek arısı
skein	çile
include	kapsamak
mitten	eldiven
suborbital	göz çukuru altındaki
levitate	havada durmak
marathon	maraton
shuttle	mekik
narcotic	narkotik
Nike	Nike
notary	noter
parabola	parabol
school bus	servis
alto	yüksek
terabyte	terabayt
Oedipus	Oedipus
Windhoek	Windhoek
valine	valin
Seattle	Seattle
keypad	tuş takımı
sleep in	evde kalmak
undisciplined	kendini kontrol edemeyen
cashew nut	kaşu somun
Old Saxon	eski saksonca
unleash	açılmak
plaster	alçı
take over	almak
anemic	anemik
chance	şans
tuning	ayarlama
wash	yıkamak
consolidation	birleşme
fog	sis
hence	buradan bundan dolayı
wade	çamurda yürümek
cherry	kiraz
delicate	nazik ince
palate	damak
crate	küfe
anonymity	anonimlik
clinic	klinik
speedometer	hızölçer
mongrel	melez
pelican	pelikan
cathode	katot
dais	kürsü
counterfoil	makbuz koçanı
tombstone	mezar taşı
agape	agape
confidentially	sıkı fıkı
airman	uçman
Ugandan	Ugandalı
Thales	Thales
Kentucky	Kentucky
cardiovascular	kardiyovasküler
layperson	meslekten olmayan kimse
dressing table	kadının küçük özel odası
linnet	keten kuşu
cunning	kurnaz
equality	eşitlik
tide	gelgit
god	tanrı
devil	şeytan
stimulant	canlandırıcı
sulfurous	kükürtlü
salary	maaş
sailor	bahriyeli
sanctuary	mabet
smidgen	bir nebze
addicted	çengelli
truancy	dersi asma
Oriental	doğu
impostor	dolandırıcı
burgle	ev soymak
pitcher	ibrik
index finger	işaret parmağı
chancy	rizikolu
myopic	miyop
plasma	plazma
striped hyena	Çizgili sırtlan
cysteine	sistein
ski jumping	kayakla atlama
improbability	olası olmama
buzzword	tutulan kelime
surrogate mother	taşıyıcı anne
translate	çevirmek
vex	kızdırmak
brave	cesur
explain	açıklamak
crib	ahır
brook	çay
antimony	antimon
fieldfare	tarla ardıç kuşu
wasp	yaban arısı
awareness	aşina
waver	sallanmak
utmost	kati
heap	yığın
bikini	bikini
drained	bitkin
biography	biyografi
Yugoslavia	Yugoslavya
thwart	engel olmak
chivalry	cesaret
tranquillity	sükunet
diatonic	diyatonik
direct current	doğru akım
delivery	doğum
agora	eski Yunanistanda pazar yeri
frill	farbala
traitorous	haince
livery	livre
acting	işleyen
pencil case	kalem kutusu
gristle	kıkırdak
double bass	kontrbas
strudel	meyvalı turta
symbolically	sembolik
Uruguay	Uruguay
Galician	Galiçyaca
pagination	numaralama
breadbasket	ekmek sepeti
Boer	Boer
plod	ağır yürümek ağır çalışmak
appease	yatıştırmak hafifletmek
viscera	ahşa
territory	bölge
engage	tutmak
clause	cümle
toilet	tuvalet
snapdragon	aslanağzı
exception	istisna
rate	oran
preamble	önsöz
global	küresel
spatter	serpmek
pocket money	cep harçlığı
knock up	çok yormak
ripple	küçük dalga
reinforce	kuvvetlendirmek
tigress	kaplan
employ	kullanmak
accuse	suçlamak
Jersey	Jersey
gymnastics	jimnastik
mumps	kabakulak
red wine	kırmızı şarap
gravestone	mezar taşı
professionalism	profesyonellik
impenetrability	sağlamlık
hummingbird	sinek kuşu
technological	teknolojik
vermicelli	tel şehriye
inaccuracy	yanlışlık
Helios	Helios
soybean	soya fasulyesi
Managua	Managua
emulsion	emülsiyon
right triangle	dik üçgen
photoconductivity	ışıliletkenlik
Athenian	Atinalı
publishing	yayıncılık
catastrophe	felaket
floor	kat
dependant	akraba
noon	öğle
owl	baykuş
half-light	alacakaranlık
unremitting	aralıksız
breadth	genişlik
readiness	atiklik
disgorge	boşaltmak
workplace	atölye
pierce	deldirmek
Ursa Major	Büyük Ayı
furcate	çatallanmış
jeep	cip
majority	çoğunluk
closely	yakın
pintle	topuk demiri
unscathed	el sürülmemiş
encyclical	genelge
prettify	güzelleştirmek
knob	tokmak
precession	presesyon
xanthous	sarı
paresthesia	sızlama
booger	sümük
Forbidden City	Yasak Şehir
godmother	vaftiz anası
pseudopod	yalancı ayak
withholding tax	vergi stopajı
George Town	George Town
Hun	Hun
archery	okçuluk
vaginal	vajinal
hiding place	gizleme yeri
quartet	dört sesli parça
gantry	makas köprüsü
wolf cub	bürçe
rival	rakip
diabetic	şeker hastalığına ait
nickname	lakap
chime	çıngırtı
engender	doğurmak
addict	bağımlı
demolish	yikmak
operating room	ameliyathane
Herero	Herero
society	toplum
award	ödül
fain	arzulu
dire	dehşetli
starfish	denizyıldızı
chart	grafik
team	takım
tug	römorkör
gibbet	darağacı
outward	dış
efficiency	verim
scent	koku
heather	funda
favour	hizmet
manservant	uşak
conniption	isteri nöbeti
countertenor	kontrtenor
sauerkraut	lahana turşusu
molasses	melas
lancer	mızraklı süvari eri
viable	yaşayabilir
Somalia	Somali
charivari	teneke çalma
meandering	yılankavi
parity bit	eşlik biti
Idaho	Idaho
u	u
anthropophagy	yamyamlık
meshugge	delilere özgü
overproduction	fazla üretim
move	hamle
Uzbek	Özbekçe
bureau	büro
faint	bayılma
denominate	adlandırmak
coppice	ağaçlık
spar	seren
transpose	aktarılabilir
reddish	kırmızımsı
scorn	istihfaf
haw	alıç
aniline	anilin
thieving	aşırma
second lieutenant	asteğmen
scoop	kürek
atrophy	körelmek
bloat	şişirmek
liken	benzetmek
conjuncture	buhran
date	hurma
flagon	büyük şişe
scalloped	çentikli
fragile	kırılabilir
scrumptious	enfes
dribble	damla
dysentery	dizanteri
squirm	kıvranış
hen	tavuk
barbican	gözleme kulesi
intaglio	içbükey
coal	kömür
dressmaker	modacı
Nigeria	Nijerya
genitalia	organ
catalytic	tezleşik
volleyball	voleybol
Mount Fuji	Fuji Dağı
garbage collection	çöp toplama
neoclassicism	neoklasisizm
organic compound	organik bileşik
scream	bağırmak
approval	izin
inanition	açlık
prevarication	asılsızlık
pelt	tüy
diagram	diyagram
regain	azarlamak
debate	müzakere
marshy	bataklık gibi
smolder	boğucu kesif duman
segment	parça
rinse	suya göstermek
recipe	yemek tarifi
ripper	çok mükemmel adam
seamless	dikişsiz
exterior	dış
pharmacology	farmakoloji
beach chair	hamak
pelvis	pelvis
emphasize	vurgulamak
entity	varlık
selvage	kumaş kenarı
Martinique	Martinik
protoplasm	protoplazma
singing	şarkı
freestyle	serbest yüzme stili
tracheitis	soluk borusu iltihabı
pulmonary tuberculosis	tüberküloz
ultramodern	ültramodern
grey partridge	çil keklik
zither	kanuna benzer bir çalgı
South Korean	Güney Koreli
conditionality	şartlılık
cityscape	şehir manzarası
mate	arkadaş
dog	köpek
timberland	orman
dew	çiy
comprehend	anlamak
remote	uzak
religionist	bağnaz
backache	bel romatizması Iumbaqo
Pergamum	Bergama’nın eski ismi
bell pepper	biber
designedly	bile bile
partnership	ortaklık
horn	boynuz
thereof	ondan
mortification	çile
lac	çok büyük miktar
petitioner	dilekçe sahibi
stance	duruş
spinet	epinet
legacy	miras
permeability	geçirgenlik
eyepiece	oküler
silk	ipek
sapper	kazmacı
contrabass	kontrbas
grotto	mağara
tobacco pipe	pipo
one-off	sabık
subcontractor	taşeron
musket	tüfek atışı
barbarize	vahşileşmek
Calypso	Calypso
heavy hydrogen	ağır hidrojen
virtual reality	sanal gerçeklik
rondo	rondo
submachine gun	hafif makineli silah
valiant	cesur
subscribe	imzalamak
blanch	ağartmak
responsibility	sorumluluk
actual	asıl
rainbow	gökkuşağı
receipt	makbuz
irregular	anormal
abscess	apse
obligate	zorlamak
cap	kasket
marker	işaret
garage	garaj
hardware	donanım
bombproof	bomba geçmez
free time	boş zaman
middle class	burjuvazi
wizard	sihirbaz
polytheism	çoktanrıcılık
time and again	defalarca
mortar	harç
recursion	ezberden okuma
producer	üretici
ichneumon	firavunfaresi
broadsword	pala
precis	hulâsa
henry	indükleme kuvveti birimi
Monrovia	Monrovia
nineteenth	on dokuzuncu
tundra	tundra
DVD	DVD
Gascony	Gaskonya
cattle egret	sığır balıkçılı
Antlia	Pompa
markup language	biçimleme dili
particle accelerator	parçacık hızlandırıcı
reduce	azaltmak
mock	alay etmek
college	üniversite
symbol	sembol
Belgium	Belçika
understand	anlamak
install	yüklemek
earmark	işaretlemek
solace	teselli
enlightenment	aydınlanma
revival	ayılma
luggage	bagaj
cuddle	sarılmak
whetstone	bileyici
termination	fesh
capercaillie	çalihorozu
mythology	mitoloji
rhinestone	elmas taklidi madde
schedule	tarife
concave	içbükey
well-mannered	ince
download	indirmek
chuckle	kıkırdama
pupa	pupa
cubism	kübizm
parotid	kulakaltı tükürük bezleri
millionaire	milyoner
boiled egg	pişmiş yumurta
salamander	semender
sonometer	ses ölçen cihaz
pins and needles	sızlama
tapioca	tapyoka
Muse	Müz
Aragon	Aragona
binomial distribution	iki terimli dağılımı
fruitcake	meyveli kek
stop	durmak
public	kamu
blond	sarışın
creation	yaratma
courthouse	adliye sarayı
quarrel	kavga
unbroken	bütün
toggle	anahtar
defecate	defi hacet etmek
bead	boncuk
blacking	ayakkabı
licking	başarısızlık
productive	bereketli
Beirut	Beyrut
seedless	çekirdeksiz
funeral	cenaze
teenager	genç
paraphernalia	teçhizat
skivvy	erkek fanilası
infirmary	hastane
monotheism	monoteizm
parapet	siper
shutter	kepenk
tendinous	kirişsi
pulpit	kürsü
inappropriate	uygunsuz
melting pot	pota
rachitis	raşitizm
statuesque	vakar
Patagonia	Patagonya
Port of Spain	Port of Spain
digital camera	sayısal kamera
democratize	demokratikleştirmek
Indo-European	Hint-Avrupa
kinky	sapık
dogma	dogmatizm
retort	karni
gorilla	goril
ancestor	ata
escort	kavalye
wish	dilemek
abrasive	aşındırıcı
tantamount	aynı
fearful	korkak
copula	koşaç
couple	çift
chieftain	başkan
sunspot	benek
gaseous	boş
catarrh	nezle
eyesore	çirkin şey
steering wheel	direksiyon
chervil	frenkmaydanozu
epiphany	görünüş
pushover	yemlik
thirsty	susamış
lutetium	lütesyum
recurrence	döngüsel karakter
reaffirm	önemini belirtmek
doggedness	somurtkanlık
choline	tepecik
actuator	uyarıcı
Vientiane	Vyentyan
sailing ship	yelkenli
swallow up	üzerine çökmek
Antigua	Antigua
branchy	yalay dallı geniş
ham	jambon
bizarre	garip
rash	hışırtı
stale	bayat
health	sağlık
family doctor	aile doktoru
hassle	aksatmak
acclimatize	alıştırmak
core	öz
freeway	otoyol
sociable	girgin sempatik
prop	ayak
strut	çalım
headdress	başlık
teacher	öğretmen
beholden	borçlu
emissary	casus
kite	uçurtma
jungle	sık orman
neighborhood	civar
sediment	tortu
voyage	seyahat
prenuptial	evlilik öncesi
rusk	peksimet
amiable	hoş tatlı
committee	kurul
propellent	ileriye sevkedici şey
refinery	rafineri
melon	kavun
ethnicity	milliyet
headmaster	okul müdürü
unauthorized	resmi olmayan
beheading	boynunu vurma
solar energy	güneş enerjisi
Madeira	Madeira Adaları
polymer	polimer
unicellular	birhücreli
thick-skinned	kalın kabuklu
empty	boş
notorious	namlı
jangle	çekişmek
undergraduate	öğrenci
after	sonra
entourage	yalakalar
abrasion	yıpranma
fringe	perçem
acidulous	mayhoş
twine	sicim
whinny	kişnemek
mischief	belâ
clatter	dedikodu
bovine	sığır
dextrin	dekstrin
heliocentric	güneşin merkezine ait
Abyssinia	Habeşistan
lounger	şezlong
pickpocket	kapkaççı
infix	orta ek
urethritis	iltihabı
misanthrope	insan düşmanı
audition	işitme
birthwort	kurtluca
Nicosia	Lefkoşa
youth hostel	hostel
eleemosynary	sadaka
deduction	tümdengelim
Ukraine	Ukrayna
Victoria	Victoria
meerkat	mirket
Little Red Riding Hood	Kırmızı Başlıklı Kız
debauched	rahatına düşkün
lanthanide	lantanit
ability	yetenek
picky	aksi
blunderbuss	alaybozan
weaken	hafifletmek
operation	işlem
backside	kıç
toga	azametli
insurmountable	aşılamaz
limousine	limuzin
wort	bitki
internode	boğum
toot	boru çalmak
quill	kalem
perish	ölmek
crackle	çatırtı
progeny	nesil
polysyllable	çok heceli
emeritus	emekli
naiveness	enayilik
perihelion	enberi
manliness	erkeklik
concoct	tertip etmek
imagination	hayal gücü
rooster	horoz
loathing	iğrenç
pharmaceutical	ilaç
fire alarm	klakson
ashamed	utanmış
inapposite	uygunsuz
nonpolitical	politik olmayan
praseodymium	praseodim
cylinder	silindir
tuff	süngertaşı
weatherstrip	tecrit şeridi yapıştırmak
bombard	topa tutma
Neanderthal	Neandertal adamı
enlarger	agrandisör
dung beetle	bok böceği
ontogeny	ontojeni
foreigner	yabancı
newcomer	yeni gelen
wrong	yanlış
effluent	akıntı
cognate	kökteş
locus	mahal
winery	ambar
prey	soymak yağma etmek
retriever	av köpeği
pop	baba
Babylonia	Babil
brother-in-law	kayın
disrupt	durdurmak
animal	hayvan
stunning	müstesna
inequality	eşitsizlik
uterine	dölyatağı
fiction	masal
slippery	kaygan
pharyngitis	farenjit
fluorine	flor
daffodil	nergis
nocturnal	geceye ait
perigee	perije
cantaloupe	kantalup kavunu
Kingdom of Lesotho	Lesoto Krallığı
Methodist	Metodist
molecule	molekül
herbage	ot
tenderize	parça parça olmak
creamery	süthane
telco	telekomünikasyon
archimandrite	yüksek rütbeli papaz
convexity	dışbükeylik
theocratic	teokratik
Chinese	Çince
suspend	askıya almak
Javanese	Cava Dili
catholicity	açık fikirlilik
contemn	küçümsemek
stiff	katı sert bükülmez
ninny	ahmak kimse
retard	gecikme
descend	alçalmak
alpaca	alpaka
keyhole	anahtar deliği
understate	anlatmak
grain	tahıl
precious	değerli
show up	görünmek
dragonfly	yusufçuk
sandal	sandal
fishmonger	balıkçı
Virgin	Başak
valetudinarian	benzi sararmış
cutter	kesici
scarecrow	korkuluk
bookbinding	ciltevi
prove	kanıtlamak
situation	durum
gallium	galyum
saving	idareli
revulsion	iğrenme
cancan	kankan
poetic	şiirsel
cruse	küp
recourse	müracaat
gluttony	oburluk
monetize	para basmak
programming language	programlama dili
octagon	sekizgen
Cannes	Cannes
cisalpine	alplerin güneyinde olan
lacrosse	lakros
Scots	İskoç İngilizcesi
lamp	lamba
underground	metro
breath	nefes
contrive	icat etmek
thrush	kandidiyaz
fertilize	tohumlamak
nourish	beslemek
cup	fincan
mystic	mistik
hoist	yükseltmek
in person	bizzat
measurement	ölçüm
wrack	enkaz
heaven	cennet
immensely	çok
democrat	demokrat
electrolyte	elektrolit
originality	yaratıcılık
sojourn	kalmak
Odessa	Hacıbey
osier	sorkunlar
Hercules	Herkül
radiotherapy	ışın tedavisi
campfire	kamp ateşi
marksman	keskin nişancı
malaise	keyifsizlik
porridge	lapa
cheddar	çedar
twelfth	on ikinci
stylus	pikap iğnesi
willow	söğüt
quieten	yenmek
Languedoc-Roussillon	Languedoc-Roussillon
ribosome	ribozom
spiral galaxy	sarmal kollu gökada
Feb	Şub
prefix notation	öntakı simgelemi
futurism	fütürizm
chainsaw	motorlu testere
maraca	maraka
DOS	Arapça
aggregate	küme
amuse	eğlendirmek
discredit	güvensizliik şüphe
novice	çırak
oink	ağlamak
groan	inlemek
rodomontade	atmak
insufficient	eksik
limitation	sınırlama
pacifism	pasifizm
farmer	çiftçi
occurrence	olay
international	uluslararası
sheep	koyun
worsted	bükme yün
byte	bayt
temper	tabiat huy
periodical	gazete
fountain pen	dolma kalem
pothead	esrarkeş
boat	kayık
tiff	gücenme
quisling	güvenilmez
granule	tanecik
puppet	kukla
sodomy	livata
gusset	köşebent
caterpillar track	kurt
Northern Ireland	Kuzey İrlanda
mineralize	mineralle kaplatmak
medieval	ortaçağa ait
hassock	puf
loveless	sevgisiz
xenophobia	zenofobi
carriage return	satır başı
Suva	Süva
Norwegian	Norveççe
scotch	çentik
exceed	aşmak geçmek
islet	adacık
belly	karın
shaft	şaft
Alsatian	Alsace dili
subcommittee	alt komisyon
performance	performans
Republic of Angola	Angola Cumhuriyeti
slap	tokat
whore	orospu
ordinal number	sıral sayı
nitrous	azota ait
initial	başlangıç
throw up	kusmak
sweltering	bunaltıcı
misshapen	çarpık çurpuk
partridge	çilkeklik
greatly	dev gibi
diphtheria	difteriye ait
exoteric	dışrak
peach	şeftali
securely	emniyetli
solute	çözünen
seventh	yedinci
viewer	seyirci
bonhomie	hoşluk
virtuoso	virtüöz
carbohydrate	karbonhidrat
discography	plak koleksiyonu
sodium hydroxide	sodyum hidroksit
urology	üroloji
stepbrother	üvey erkek kardeş
blitz	yıldırım saldırı
ephemeris	yıldönümü
Ticino	Tikino
silicate	silikat
recycle	tekrardan kullanma
yuan	yuan
purport	mana
Cuban	Kübalı
plump	dolgun
outdoors	açık hava
exercise	alıştırma
trap	çekmek
unscrupulous	vicdansız
effluence	akıntı
coward	ödlek
second	saniye
bumblebee	bombus
ecstasy	dalınç
horseback	at sırtı
correlative	karşılıklı
cuckoo	guguk
low tide	cezir
subtract	çıkarmak
transmute	değiştirmek
down payment	depozito
lattice	kafes
calculable	güvenilir
burin	hakkak kalemi
ransack	yağma etmek
Montenegro	Karadağ
sturdiness	karar
cove	körfez
dipper	derekuşu
tiny	küçük
xylem	ksilem
self-respect	onur
kohlrabi	yer lahanası
washable	yıkanabilir
backlog	birikme
ununpentium	ununpentiyum
caecum	kör bağırsak
Lake Ontario	Ontario Gölü
herpes zoster	zona
barycenter	kütle merkezi
Russian roulette	Rus ruleti
slumber party	pijama partisi
Ariadne	Ariadne
medical	hekim
bulge	topak
assess	beğenmek
padding	abartma
Oviedo	Oviedo
dilation	genleşme
accountability	kantitatif muhasebe
imbecile	ahmak
fallow deer	alageyik
cunt	am
unreported	anlatılmamış
occiput	ense
wisp	tutam
fearsome	korkunç
divest	soymak
milfoil	civanperçemi
abomination	iğrenme
layout	plan
midwife	ebe
adjutant	muavin
virtuous	erdemli
Cambrian	Kambriyen dönem
guava	guava
powerful	güçlü
catchment	havza
decoy	tuzak yem
papery	ince
lithium	lityum
take in	nakletmek
triangulate	üçgen
allusive	üstü kapalı
disinformation	dezenformasyon
Thanatos	Thanatos
Nero	Neron
teethe	diş çıkarmak
nucleic acid	göze çekirdeği ekşiti
whole	bütün
bum	göt
inexperienced	acemi
round	yuvarlak
allied	müttefik
surmount	aşmak
instantly	anında
background	arka plan
food	yemek
assignment	atama
seduction	ayartma
rhetorical	sözbilimsel
Unitarian	birimsel
completion	bitirme
hearty	candan
promptly	çabuk
exaction	cebren alma
diffidence	çekingenlik
creep	emeklemek
ferry	feribot
estuary	haliç
hirsute	kıllı
Corona Borealis	Kuzeytacı
lab	laboratuvar
jester	şakacı
altruist	özgeci
raft	sal
waylay	pusuya yatmak
trailer	fragman
socialist	sosyalist
gaiter	tozluk
blood donor	verici
NATO	Kuzey Atlantik Antlaşması Örgütü
Vulpecula	Tilkicik
millennial	bininci yıla ait
dildo	zıbık
diving suit	basınçlı pilot elbisesi
dorsal fin	sırt yüzgeci
singer	şarkıcı
cutting	kesim
scurvy	iskorbüt
alpha	alfa
sex	cinsel ilişki
scheme	entrika çevirmek
antiseptic	antiseptik
calculate	hesaplamak
headache	baş ağrısı
disoriented	baş döndürücü
bottleful	biberon
whim	kapris
frontier	sınır
thus	böylece
gaggle	cenebaz kadınlar grupu
eastern	doğu
seedling	genç bitki
ileum	incebağırsağın alt yarısı
Scotsman	İskoçyalı
italicize	italik harflerle basmak
schoolgirl	kız öğrenci
sceptical	kuşkucu
solder	lehimlemek
simian	maymun
omnipotent	ulu
Seville	Sevilla
Comoros	Komorlar
Germinal	Germinal
German Democratic Republic	Demokratik Almanya Cumhuriyeti
Taiwanese	Tayvanlı
magnetic flux	manyetik akı
scoliosis	skolyoz
chubby	dolgun
do	yapmak
definitive	kati
moralist	ahlakçı
pick up	biriktirmek
analyse	araştırmak
interruption	kesilme
asphyxia	asfeksi
plunder	yağma
heterodoxy	aykırılık
well-nigh	az daha
unpredictability	beklenmedik olay
testimonial	bonservis
elliptical	elipsoidal
capstan	ırgat
splatter	sıçramak
compute	hesaplamak
attention	dikkat
therapist	terapist
stagnate	durgunlaşmak
forevermore	ebediyen
wasteful	müsrif
latch	mandal sürgü
melting	erime
industrialist	fabrika sahibi
more and more	gittikçe
granite	granit
twerp	ulan
Hakka	Hakka
architecture	mimarlık
distaff	öreke
cutin	kütin
Moses	Musa
temptress	yosma
Campania	Campania
Ardennes	Ardennes
Valletta	Valletta
Champagne-Ardenne	Champagne-Ardenne
curator	küratör
Hegelian	Hegelci
Adar	adar
Malachi	Malaki
agnosticism	agnostisizm
discord	ahenksizlik
jowl	çene
jiffy	lahza
apprehensible	anlaşılabilir
bung	dövmek
lavatory	hela
vouchsafe	lütfetmek
direction	yön
maybe	belki
monism	monizm
debit	borçlandırmak
ram	koç
detonate	patlamak
inhumation	cenaze
forte	kuvvetli
chemist	kimyager
immigrate	göç etmek
syllabic	hecelerden ibaret
dereliction	ihmal
transducer	dönüştürücü
joule	joule
assortment	karışım
bridgehead	köprü başı
tablecloth	masa örtüsü
scythe	tırpan
nacre	sedef
amain	şiddetle
Oriya	Oriya
Aleut	Aleutça
legatee	miras kalan mimse
ascorbic acid	C vitamini
ring	yüzük
dialect	lehçe
condemn	lanetlemek
develop	gelişmek
speak	konuşmak
adult	ergin
untie	çözmek
dawn	şafak
have	sahip olmak
granary	tahıl ambarı
sententious	manalı
neurology	nöroloji
offprint	ayrı baskı
skimp	baştan savma yapmak
rag	paçavra
penny	peni
league	lig
petrol	benzin
fluctuate	değişmek
devour	yemek
idiomatic	deyimsel
textual	metne ait
logic	mantık
cancellation	iptal
sombrero	sombrero
marjoram	mercanköşk
vanguard	ileri kol
ingratitude	nankörlük
ossify	katılaşmak
preventable	sakınılır
chimpanzee	şempanze
Danube	Tuna
mystical	mistik
mollusc	yumuşakça
raccoon dog	rakun köpeği
limpet	konik kabuklu deniz salyangoz
Serbia	Sırbistan
pellucid	açık
despise	hor görmek
redundancy	artıklık
betray	ihanet etmek
chat	sohbet
destiny	kısmet
stimulate	teşvik etmek
discourage	vazgeçirmek
decipher	deşifre etmek
axis	eksen
staff	personel
lovelorn	aşk hicranı çeken
stand up	ayakta durmak
holy	kutsal
sustenance	gıda
monotonous	tekdüze
ultramarine	denizaşırı
undertake	girişmek
dobra	dobra
haphazard	düzensiz
testicle	er bezi
provision	tedarik şart koşul
sherbet	şerbet
bastille	karar
spoonful	kaşık dolusu
sisterhood	kızkardeşlik
northeastern	kuzeydoğu
letterpress	matbaacılık
sloth	tembel hayvan
Nestorian	Nesturi mezhebine ait
mane	yele
lateral	yanal
spallation	yarılma
Spanish Armada	İspanyol Armada
essayist	deneme yazarı
existing	varolan
lay	yumurtlamak
disrespectful	hürmetsiz
consist	ait olmak
great	büyük
fundamental	temel
virulent	düşmanca
lunar	yarımay şeklinde
perilous	tehlikeli
lesion	lezyon
worse	daha kötü
biologist	biyolog
abstention	çekimserlik
translatable	çevrilebilir
infield	tarla
discotheque	diskotek
tesseract	dört boyutlu küp
prevention	engelleme
week	hafta
airship	idare edilebilen balon
intensity	yoğunluk
linden	ıhlamur
annexation	ilhak
cowberry	kırmızı
wintertime	kış
umbel	maydanozgillere ait
middle finger	orta parmak
herbivorous	otçul
Peking	Pekin
tintinnabulation	şıngırtı
inorganic chemistry	inorganik kimya
high frequency	yüksek frekans
Kislev	kislev
seborrhea	sebore
nudism	çıplak dolaşma merakı
animalcule	mikroskobik hayvan
computer programming	bilgisayar programlama
pheromone	feromon
phase transition	evre geçişi
assault	saldırmak
gherkin	kornişon
marvelous	harika
about	yaklaşık
companion	arkadaş
mimosa	mimoza
kith	akraba
scope	kapsam
legion	alay
entice	ayartmak
gear	vites
decomposition	ayrışım
ceiling	tavan
prelude	giriş
cerebral	beyinsel
bureaucrat	bürokrat
Great Bear	Büyük Ayı
gall	safra
discretion	ketumiyet akıllılık
inactive	çalışmıyor
ago	önce
vestry	giyinme odası
Panama hat	hasır şapka
annihilation	anilasyon
discourteous	kaba
dinar	dinar
Spaniard	İspanyol
Switzerland	İsviçre
micrometer	mikrometre
cheeseburger	çizburger
slipperiness	şehvet
charmer	sihirbaz
Sufi	sofi
pressurize	tazyik altında tutmak
slave trade	köle ticareti
blood pressure	böbreküstü bezi
Hyderabad	Haydarabad
autumnal equinox	sonbahar ekinoksu
bring in	indüklemek
bashfully	hayalı
Floridian	Floridalı
south by west	kıble kerte lodos
dial	numarayı çevirmek
carve	oymak
atrocity	zulüm
normal	normal
rouge	allık
song	şarkı
pose	duruş
meticulousness	aşırı titizlik
problem	sorun
parallel	koşut
saint	aziz
banker	banker
gust	rüzgar bora
beguine	bu dansların müziği
munition	cephane
agriculture	tarım
manipulate	hünerle kullanmak
difficulty	dert
tissue	doku
southwest	güneybatı
heroine	kahraman
gable	kalkan duvarı
Vulcan	Vulcanus
kayak	kano
narcissistic	kendini beğenmiş
tail end	kıç
kiwi	kivi
theoretic	kuramsal
Mytilene	Midilli
Renaissance	Rönesans
salad	salata
prestigious	saygın
Cracow	Kraków
persona non grata	istenmeyen adam
gravitational field	kütleçekim alanı
Eustachian tube	Östaki borusu
Fibonacci number	Fibonacci sayısı
red-shouldered hawk	kızıl omuzlu şahin
endue	gelir bağlamak
gazetteer	reklamcı
exhibit	göstermek
uninteresting	ahmak
sulky	somurtkan
coachman	arabacı
antacid	antiasit
vantage	üstünlük
croissant	kruvasan
spotlight	spot lambası
censure	eleştirmek
ripsaw	bıçkı testeresi
vegetation	vejetasyon
thereby	o münasebetle
wheat flour	buğday unu
messenger	elçi
dame	civciv
wallop	pataklamak
progression	devam
narration	deyiş
deport	sınırdışı etmek
electrification	elektriklenme
erbium	erbiyum
voltage	gerilim
don	giyinmek
umbilical cord	göbek bağı
lean-to	köşk
kale	lahana çorbası
wank	otuz bir çekmek
reactor	reaktör
apotheosize	tanrılaştırmak
toaster	tost makinası
triangular	üçgen
sideways	yan
ideality	yaratılcılık
holy water	kutsal su
readability	okunaklılık
guilder	gulden
monasticism	manastır sistemi
brucellosis	bruselloz
greenhorn	acemi çaylak
aphasia	söz yitimi
vindicate	doğrulama
dawdle	oyalanmak
goon	kundakçı
guile	riyasız
secret	gizli
antique	antika
steal	çalmak
prefer	tercih etmek
inimitable	eşsiz
well-groomed	bakımlı
delightful	büyüleyici
sing	şarkı söylemek
partake	çeşnisi olmak
peduncle	çiçek sapı
crawl	emeklemek
there	orada
notation	sembolle gösterim
